Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Wrexham",
Latitude,50.840836,,57.481308,,51.522530,,51.494670,,53.042282,,
Longitude,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-3.002829,,
Site Type,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Traffic,,
Zone,South East,,Highland,,Greater London,,Greater London,,North Wales,,
Agglomeration,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,
Local Authority,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2018-01-01,4.083,V ugm-3 (GRAV EMFAB),5.877,V ugm-3 (GRAV EMFAB),7.417,V ugm-3 (GRAV EMFAB),3.5,V ugm-3 (GRAV EMFAB),2.801,V ugm-3 (GRAV EMFAB)
2018-01-02,8.208,V ugm-3 (GRAV EMFAB),5.335,V ugm-3 (GRAV EMFAB),10.042,V ugm-3 (GRAV EMFAB),5.958,V ugm-3 (GRAV EMFAB),6.95,V ugm-3 (GRAV EMFAB)
2018-01-03,8.625,V ugm-3 (GRAV EMFAB),11.044,V ugm-3 (GRAV EMFAB),10.921,V ugm-3 (GRAV EMFAB),7.375,V ugm-3 (GRAV EMFAB),7.282,V ugm-3 (GRAV EMFAB)
2018-01-04,6.667,V ugm-3 (GRAV EMFAB),9.313,V ugm-3 (GRAV EMFAB),10.042,V ugm-3 (GRAV EMFAB),3.958,V ugm-3 (GRAV EMFAB),5.871,V ugm-3 (GRAV EMFAB)
2018-01-05,5.625,V ugm-3 (GRAV EMFAB),3.646,V ugm-3 (GRAV EMFAB),9.708,V ugm-3 (GRAV EMFAB),4,V ugm-3 (GRAV EMFAB),9.73,V ugm-3 (GRAV EMFAB)
2018-01-06,5.708,V ugm-3 (GRAV EMFAB),7.771,V ugm-3 (GRAV EMFAB),11.125,V ugm-3 (GRAV EMFAB),9.792,V ugm-3 (GRAV EMFAB),7.697,V ugm-3 (GRAV EMFAB)
2018-01-07,5.292,V ugm-3 (GRAV EMFAB),5.521,V ugm-3 (GRAV EMFAB),4,V ugm-3 (GRAV EMFAB),3.042,V ugm-3 (GRAV EMFAB),9.315,V ugm-3 (GRAV EMFAB)
2018-01-08,11.167,V ugm-3 (GRAV EMFAB),8.688,V ugm-3 (GRAV EMFAB),11.292,V ugm-3 (GRAV EMFAB),8.083,V ugm-3 (GRAV EMFAB),11.058,V ugm-3 (GRAV EMFAB)
2018-01-09,14.792,V ugm-3 (GRAV EMFAB),10.771,V ugm-3 (GRAV EMFAB),21.632,V ugm-3 (GRAV EMFAB),18.958,V ugm-3 (GRAV EMFAB),17.905,V ugm-3 (GRAV EMFAB)
