Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Marylebone Road",
Latitude,51.522530,,
Longitude,-0.154611,,
Site Type,Urban Traffic,,
Zone,Greater London,,
Agglomeration,Greater London Urban Area,,
Local Authority,"Westminster",,
Date,"PM2.5 particulate matter (Daily measured)",Status
2020-01-01,33.875,V ugm-3 (GRAV EMFAB)
2020-01-02,9.125,V ugm-3 (GRAV EMFAB)
2020-01-03,5.75,V ugm-3 (GRAV EMFAB)
2020-01-04,9.375,V ugm-3 (GRAV EMFAB)
2020-01-05,5.25,V ugm-3 (GRAV EMFAB)
2020-01-06,8.833,V ugm-3 (GRAV EMFAB)
2020-01-07,10.625,V ugm-3 (GRAV EMFAB)
2020-01-08,13.682,V ugm-3 (GRAV EMFAB)
2020-01-09,5.875,V ugm-3 (GRAV EMFAB)
2020-01-10,8.159,V ugm-3 (GRAV EMFAB)
2020-01-11,5.667,V ugm-3 (GRAV EMFAB)
2020-01-12,5.458,V ugm-3 (GRAV EMFAB)
2020-01-13,7.125,V ugm-3 (GRAV EMFAB)
2020-01-14,7.542,V ugm-3 (GRAV EMFAB)
2020-01-15,8.042,V ugm-3 (GRAV EMFAB)
2020-01-16,9.75,V ugm-3 (GRAV EMFAB)
2020-01-17,8.042,V ugm-3 (GRAV EMFAB)
2020-01-18,10.25,V ugm-3 (GRAV EMFAB)
2020-01-19,11.333,V ugm-3 (GRAV EMFAB)
2020-01-20,28.792,V ugm-3 (GRAV EMFAB)
2020-01-21,32,V ugm-3 (GRAV EMFAB)
2020-01-22,21.333,V ugm-3 (GRAV EMFAB)
2020-01-23,11.5,V ugm-3 (GRAV EMFAB)
2020-01-24,14.042,V ugm-3 (GRAV EMFAB)
2020-01-25,17.792,V ugm-3 (GRAV EMFAB)
2020-01-26,13.167,V ugm-3 (GRAV EMFAB)
2020-01-27,7.167,V ugm-3 (GRAV EMFAB)
2020-01-28,6.695,V ugm-3 (GRAV EMFAB)
2020-01-29,9.625,V ugm-3 (GRAV EMFAB)
2020-01-30,8.333,V ugm-3 (GRAV EMFAB)
2020-01-31,4.937,V ugm-3 (GRAV EMFAB)
2020-02-01,8.667,V ugm-3 (GRAV EMFAB)
2020-02-02,9.749,V ugm-3 (GRAV EMFAB)
2020-02-03,9.792,V ugm-3 (GRAV EMFAB)
2020-02-04,6.083,V ugm-3 (GRAV EMFAB)
2020-02-05,15.833,V ugm-3 (GRAV EMFAB)
2020-02-06,18.75,V ugm-3 (GRAV EMFAB)
2020-02-07,20.586,V ugm-3 (GRAV EMFAB)
