Daily measurement data supplied by UK-air on 21/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Marylebone Road",
Latitude,51.522530,,
Longitude,-0.154611,,
Site Type,Urban Traffic,,
Zone,Greater London,,
Agglomeration,Greater London Urban Area,,
Local Authority,"Westminster",,
Date,"PM2.5 particulate matter (Daily measured)",Status
2021-01-01,17.167,V ugm-3 (GRAV EMFAB)
2021-01-02,5.167,V ugm-3 (GRAV EMFAB)
2021-01-03,4.5,V ugm-3 (GRAV EMFAB)
2021-01-04,3.458,V ugm-3 (GRAV EMFAB)
2021-01-05,3.25,V ugm-3 (GRAV EMFAB)
2021-01-06,4.542,V ugm-3 (GRAV EMFAB)
2021-01-07,15.333,V ugm-3 (GRAV EMFAB)
2021-01-08,19.958,V ugm-3 (GRAV EMFAB)
2021-01-09,15.458,V ugm-3 (GRAV EMFAB)
2021-01-10,16.583,V ugm-3 (GRAV EMFAB)
2021-01-11,6.25,V ugm-3 (GRAV EMFAB)
2021-01-12,3.125,V ugm-3 (GRAV EMFAB)
2021-01-13,12.25,V ugm-3 (GRAV EMFAB)
2021-01-14,5.125,V ugm-3 (GRAV EMFAB)
2021-01-15,11.167,V ugm-3 (GRAV EMFAB)
2021-01-16,7.875,V ugm-3 (GRAV EMFAB)
2021-01-17,7.208,V ugm-3 (GRAV EMFAB)
2021-01-18,7.042,V ugm-3 (GRAV EMFAB)
2021-01-19,2.208,V ugm-3 (GRAV EMFAB)
2021-01-20,6.625,V ugm-3 (GRAV EMFAB)
2021-01-21,4,V ugm-3 (GRAV EMFAB)
2021-01-22,9.25,V ugm-3 (GRAV EMFAB)
2021-01-23,8.583,V ugm-3 (GRAV EMFAB)
2021-01-24,8.583,V ugm-3 (GRAV EMFAB)
2021-01-25,9.375,V ugm-3 (GRAV EMFAB)
2021-01-26,8.083,V ugm-3 (GRAV EMFAB)
2021-01-27,12.667,V ugm-3 (GRAV EMFAB)
2021-01-28,5.391,V ugm-3 (GRAV EMFAB)
2021-01-29,5.766,V ugm-3 (GRAV EMFAB)
2021-01-30,5.141,V ugm-3 (GRAV EMFAB)
2021-01-31,8.141,V ugm-3 (GRAV EMFAB)
2021-02-01,13.724,V ugm-3 (GRAV EMFAB)
2021-02-02,10.49,V ugm-3 (GRAV EMFAB)
2021-02-03,9.141,V ugm-3 (GRAV EMFAB)
2021-02-04,8.266,V ugm-3 (GRAV EMFAB)
2021-02-05,7.224,V ugm-3 (GRAV EMFAB)
2021-02-06,9.016,V ugm-3 (GRAV EMFAB)
2021-02-07,7.307,V ugm-3 (GRAV EMFAB)
