Hourly measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",
Latitude,,51.522530,,
Longitude,,-0.154611,,
Site Type,,Urban Traffic,,
Zone,,Greater London,,
Agglomeration,,Greater London Urban Area,,
Local Authority,,"Westminster",,
Date,Time,"Nitrogen oxides as nitrogen dioxide",Status
2021-01-01,01:00:00,30.33078,V ugm-3
2021-01-01,02:00:00,38.0748,V ugm-3
2021-01-01,03:00:00,28.7013,V ugm-3
2021-01-01,04:00:00,46.17377,V ugm-3
2021-01-01,05:00:00,41.33375,V ugm-3
2021-01-01,06:00:00,46.41577,V ugm-3
2021-01-01,07:00:00,45.78656,V ugm-3
2021-01-01,08:00:00,49.07778,V ugm-3
2021-01-01,09:00:00,47.28697,V ugm-3
2021-01-01,10:00:00,63.83983,V ugm-3
2021-01-01,11:00:00,73.66506,V ugm-3
2021-01-01,12:00:00,85.71671,V ugm-3
2021-01-01,13:00:00,75.84307,V ugm-3
2021-01-01,14:00:00,106.57718,V ugm-3
2021-01-01,15:00:00,107.78718,V ugm-3
2021-01-01,16:00:00,122.21044,V ugm-3
2021-01-01,17:00:00,126.71165,V ugm-3
2021-01-01,18:00:00,111.9496,V ugm-3
2021-01-01,19:00:00,89.39512,V ugm-3
2021-01-01,20:00:00,51.01378,V ugm-3
2021-01-01,21:00:00,37.31653,V ugm-3
2021-01-01,22:00:00,24.73249,V ugm-3
2021-01-01,23:00:00,21.39288,V ugm-3
2021-01-01,24:00:00,23.86129,V ugm-3
2021-01-02,01:00:00,16.41147,V ugm-3
2021-01-02,02:00:00,13.88164,V ugm-3
2021-01-02,03:00:00,10.16798,V ugm-3
2021-01-02,04:00:00,14.69248,V ugm-3
2021-01-02,05:00:00,11.28694,V ugm-3
2021-01-02,06:00:00,17.66017,V ugm-3
2021-01-02,07:00:00,21.35761,V ugm-3
2021-01-02,08:00:00,30.16337,V ugm-3
2021-01-02,09:00:00,79.00856,V ugm-3
2021-01-02,10:00:00,40.91515,V ugm-3
2021-01-02,11:00:00,54.63462,V ugm-3
2021-01-02,12:00:00,42.37467,V ugm-3
2021-01-02,13:00:00,42.18007,V ugm-3
2021-01-02,14:00:00,34.44462,V ugm-3
2021-01-02,15:00:00,39.16373,V ugm-3
2021-01-02,16:00:00,56.92119,V ugm-3
2021-01-02,17:00:00,59.20777,V ugm-3
2021-01-02,18:00:00,69.13249,V ugm-3
2021-01-02,19:00:00,78.91126,V ugm-3
2021-01-02,20:00:00,76.72199,V ugm-3
2021-01-02,21:00:00,59.88888,V ugm-3
