date,O3,NO,NO2,NOx,CO,PM10,station,day_of_week,quarter_num,year
2021-01-01,14.168777916666665,21.13648625,29.890934166666668,62.29976208333334,0.3305843333333333,21.254,London Marylebone Road,4,1,2021
2021-01-02,21.778473333333334,11.243935833333333,24.353094583333334,41.59355541666667,0.24331662499999998,,London Marylebone Road,5,1,2021
2021-01-03,25.285104583333332,6.264511250000001,16.727747083333334,26.333196666666666,0.12014429166666667,36.681,London Marylebone Road,6,1,2021
2021-01-04,35.14580208333333,3.9826683333333333,13.439897916666666,19.54657125,0.132457875,25.736,London Marylebone Road,0,1,2021
2021-01-05,29.900159583333334,6.389799166666666,15.996389583333332,25.793944999999997,0.09888245833333333,,London Marylebone Road,1,1,2021
2021-01-06,19.011815000000002,10.700645652173913,22.537950434782605,38.94537521739131,0.18876375,,London Marylebone Road,2,1,2021
2021-01-07,7.240649583333333,54.855488333333334,46.88085208333334,130.99142833333335,0.34415141666666665,,London Marylebone Road,3,1,2021
2021-01-08,4.689202916666667,40.403775,40.75550666666667,102.70709708333334,0.275775125,,London Marylebone Road,4,1,2021
2021-01-09,12.358095416666666,40.67346333333333,41.303106666666665,103.66821416666666,0.40743304166666666,,London Marylebone Road,5,1,2021
2021-01-10,10.437233749999999,31.936141666666668,40.6046575,89.57272458333334,0.23508395833333331,,London Marylebone Road,6,1,2021
2021-01-11,19.97001695652174,44.96445583333334,47.32020166666666,116.26473750000001,0.3958339583333333,,London Marylebone Road,0,1,2021
2021-01-12,30.735860000000002,16.31206166666667,35.204805416666666,60.21628416666667,0.3285422083333333,,London Marylebone Road,1,1,2021
2021-01-13,5.310779583333333,88.47427125,58.36058791666667,194.01924250000002,0.4498663333333333,19.5,London Marylebone Road,2,1,2021
2021-01-14,18.226701666666667,22.533928333333332,42.11095875,76.66249875,0.27533070833333334,5.966,London Marylebone Road,3,1,2021
2021-01-15,11.249373749999998,39.16749458333333,41.44181458333333,101.49780166666666,0.3097499166666667,16.875,London Marylebone Road,4,1,2021
2021-01-16,13.998312083333333,40.13592416666666,43.246508750000004,104.78740041666667,0.3196276666666667,13.25,London Marylebone Road,5,1,2021
2021-01-17,30.142693750000003,18.03462083333333,34.49488916666667,62.147588750000004,0.24307054166666667,,London Marylebone Road,6,1,2021
