date,pm25,station,was_observed,pm25_imputed,pm25_lag_1d,pm25_lag_2d,pm25_lag_3d,pm25_lag_7d,pm25_lag_14d,pm25_lag_30d,rolling_mean_3d,rolling_mean_7d,rolling_mean_14d,rolling_mean_30d,rolling_std_7d,rolling_min_7d,rolling_max_7d,rolling_std_30d,rolling_min_30d,rolling_max_30d,diff_1d,diff_7d,diff_30d,pct_change_1d,pct_change_7d,diff_of_diff,seasonal_trend,seasonal_component,seasonal_residual,trend_avg_3d,trend_avg_7d,trend_avg_14d,trend_diff_1_2,trend_diff_1_7,trend_diff_7_14,trend_rate_3d,trend_rate_7d,trend_rate_14d,trend_volatility_7d,trend_volatility_14d,trend_ratio_7d,trend_ratio_30d,trend_cumsum_7d,day_of_year_sin,day_of_year_cos,day_of_week_sin,day_of_week_cos,day_of_month_sin,day_of_month_cos
2021-01-01,17.167,London Marylebone Road,True,False,,,,,,,,,,,,,,,,,,,,,,,5.233425358759526,-0.6485898254578298,12.582164466698305,,,,,,,,,,,,,,,0.017213356155834685,0.9998518392091162,-0.433883739117558,-0.9009688679024191,0.20129852008866006,0.9795299412524945
2021-01-02,13.724,London Marylebone Road,True,False,17.167,,,,,,17.167,17.167,17.167,17.167,,17.167,17.167,,17.167,17.167,,,,,,,5.247576420311101,0.6648864201574899,7.811537159531408,17.167,17.167,17.167,,,,,,,,,1.0,1.0,17.167,0.03442161162274574,0.9994074007397048,-0.9749279121818236,-0.2225209339563146,0.39435585511331855,0.9189578116202306
2021-01-03,26.917,London Marylebone Road,True,False,13.724,17.167,,,,,15.445500000000001,15.445500000000001,15.445500000000001,15.445500000000001,2.434568647625284,13.724,17.167,2.434568647625284,13.724,17.167,-3.4430000000000014,,,-20.05592124424769,,,5.261727481862676,2.92140963250471,18.733862885632618,15.445500000000001,15.445500000000001,15.445500000000001,-3.4430000000000014,,,,,,2.434568647625284,2.434568647625284,0.8885435887475316,0.8885435887475316,30.891000000000002,0.051619667223253764,0.998666816288476,-0.7818314824680299,0.6234898018587334,0.5712682150947923,0.8207634412072763
2021-01-04,17.167,London Marylebone Road,True,False,26.917,13.724,17.167,,,,19.269333333333336,19.269333333333336,19.269333333333336,19.269333333333336,6.843147399649764,13.724,26.917,6.843147399649764,13.724,26.917,13.193000000000001,,,96.1308656368406,,16.636000000000003,5.275878543414251,0.9745051736190536,10.916616282966697,19.269333333333336,19.269333333333336,19.269333333333336,13.193000000000001,,,3.25,,,6.843147399649764,6.843147399649764,1.3968827843897038,1.3968827843897038,57.80800000000001,0.06880242680231986,0.9976303053065857,0.0,1.0,0.72479278722912,0.6889669190756866
2021-01-05,10.0,London Marylebone Road,True,False,17.167,26.917,13.724,,,,19.269333333333336,18.743750000000002,18.743750000000002,18.743750000000002,5.685425423835933,13.724,26.917,5.685425423835933,13.724,26.917,-9.75,,,-36.222461641341894,,-22.943,5.2900296049658255,1.7062829065142178,3.0036874885199567,19.269333333333336,18.743750000000002,18.743750000000002,-9.75,,,1.147666666666667,,,5.685425423835933,5.685425423835933,0.9158786262087363,0.9158786262087363,74.97500000000001,0.08596479873744647,0.9962981749346078,0.7818314824680298,0.6234898018587336,0.8486442574947509,0.5289640103269624
2021-01-06,12.385,London Marylebone Road,True,False,10.0,17.167,26.917,,,,18.028000000000002,16.995,16.995,16.995,6.287581371242841,10.0,26.917,6.287581371242841,10.0,26.917,-7.167000000000002,,,-41.74870390866198,,2.5829999999999984,5.304180666517401,0.09736337913540932,6.98345595434719,18.028000000000002,16.995,16.995,-7.167000000000002,,,-5.639,,,6.287581371242841,6.287581371242841,0.5884083553986467,0.5884083553986467,84.97500000000001,0.10310169744743485,0.9946708199115211,0.9749279121818236,-0.22252093395631434,0.9377521321470804,0.3473052528448203
2021-01-07,7.72,London Marylebone Road,True,False,12.385,10.0,17.167,,,,13.184,16.226666666666667,16.226666666666667,16.226666666666667,5.930342339752965,10.0,26.917,5.930342339752965,10.0,26.917,2.385,,,23.849999999999994,,9.552000000000001,5.318331728068976,-2.7145172441338095,5.116185516064833,13.184,16.226666666666667,16.226666666666667,2.385,,,-1.5940000000000005,,,5.930342339752965,5.930342339752965,0.7632497945768283,0.7632497945768283,97.36,0.1202080448993527,0.9927487224577402,0.43388373911755823,-0.900968867902419,0.9884683243281114,0.1514277775045767
2021-01-08,4.333,London Marylebone Road,True,False,7.72,12.385,10.0,17.167,,,10.035,15.01142857142857,15.01142857142857,15.01142857142857,6.296434886958992,7.72,26.917,6.296434886958992,7.72,26.917,-4.665,,,-37.66653209527655,,-7.05,5.332482789620551,-1.2728121139783706,0.27332932435781987,10.035,15.01142857142857,15.01142857142857,-4.665,-9.447000000000003,,-0.7600000000000001,-1.3495714285714289,,6.296434886958992,6.296434886958992,0.5142748382185002,0.5142748382185002,105.08,0.13727877211326478,0.9905324521322229,-0.433883739117558,-0.9009688679024191,0.9987165071710528,-0.05064916883871264
2021-01-09,6.417,London Marylebone Road,True,False,4.333,7.72,12.385,13.724,,,8.145999999999999,13.178,13.676625000000001,13.676625000000001,7.345323682452666,4.333,26.917,6.945150269638313,4.333,26.917,-3.3869999999999996,-12.834000000000001,,-43.87305699481865,-74.75971340362322,1.2780000000000005,5.346633851172126,-1.4113869838229323,2.4817531326508058,8.145999999999999,13.178,13.676625000000001,-3.3869999999999996,-9.391,,-2.6839999999999997,-1.3415714285714286,,7.345323682452666,6.945150269638313,0.3288055850660191,0.3168179283997331,92.24600000000001,0.15430882066428117,0.9880226656636976,-0.9749279121818236,-0.2225209339563146,0.9680771188662043,-0.2506525322587204
2021-01-10,6.083,London Marylebone Road,True,False,6.417,4.333,7.72,26.917,,,6.156666666666666,12.134142857142857,12.87,12.87,7.7621756062883005,4.333,26.917,6.932641505948508,4.333,26.917,2.0839999999999996,-7.307,,48.09600738518347,-53.242494899446235,5.470999999999999,5.360784912723701,-2.8957339084620153,3.6179489957383146,6.156666666666666,12.134142857142857,12.87,2.0839999999999996,-20.5,,-0.4343333333333333,-2.9285714285714284,,7.7621756062883005,6.932641505948508,0.528838342810723,0.4986013986013986,84.939,0.1712931441814776,0.9852201067560606,-0.7818314824680299,0.6234898018587334,0.8978045395707416,-0.4403941515576344
