Daily measurement data supplied by UK-air on 21/05/2026,,
All Data GMT hour ending,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,
,London Marylebone Road,
Latitude,51.52253,
Longitude,-0.154611,
Site Type,Urban Traffic,
Zone,Greater London,
Agglomeration,Greater London Urban Area,
Local Authority,Westminster,
Date,PM2.5 particulate matter (Daily measured),Status
01/01/2021,17.167,V ugm-3 (GRAV EMFAB)
02/01/2021,5.167,V ugm-3 (GRAV EMFAB)
03/01/2021,4.5,V ugm-3 (GRAV EMFAB)
04/01/2021,3.458,V ugm-3 (GRAV EMFAB)
05/01/2021,3.25,V ugm-3 (GRAV EMFAB)
06/01/2021,4.542,V ugm-3 (GRAV EMFAB)
07/01/2021,15.333,V ugm-3 (GRAV EMFAB)
08/01/2021,19.958,V ugm-3 (GRAV EMFAB)
09/01/2021,15.458,V ugm-3 (GRAV EMFAB)
10/01/2021,16.583,V ugm-3 (GRAV EMFAB)
11/01/2021,6.25,V ugm-3 (GRAV EMFAB)
12/01/2021,3.125,V ugm-3 (GRAV EMFAB)
13/01/2021,12.25,V ugm-3 (GRAV EMFAB)
14/01/2021,5.125,V ugm-3 (GRAV EMFAB)
15/01/2021,11.167,V ugm-3 (GRAV EMFAB)
16/01/2021,7.875,V ugm-3 (GRAV EMFAB)
17/01/2021,7.208,V ugm-3 (GRAV EMFAB)
18/01/2021,7.042,V ugm-3 (GRAV EMFAB)
19/01/2021,2.208,V ugm-3 (GRAV EMFAB)
20/01/2021,6.625,V ugm-3 (GRAV EMFAB)
21/01/2021,4,V ugm-3 (GRAV EMFAB)
22/01/2021,9.25,V ugm-3 (GRAV EMFAB)
23/01/2021,8.583,V ugm-3 (GRAV EMFAB)
24/01/2021,8.583,V ugm-3 (GRAV EMFAB)
25/01/2021,9.375,V ugm-3 (GRAV EMFAB)
26/01/2021,8.083,V ugm-3 (GRAV EMFAB)
27/01/2021,12.667,V ugm-3 (GRAV EMFAB)
28/01/2021,5.391,V ugm-3 (GRAV EMFAB)
29/01/2021,5.766,V ugm-3 (GRAV EMFAB)
30/01/2021,5.141,V ugm-3 (GRAV EMFAB)
31/01/2021,8.141,V ugm-3 (GRAV EMFAB)
01/02/2021,13.724,V ugm-3 (GRAV EMFAB)
02/02/2021,10.49,V ugm-3 (GRAV EMFAB)
03/02/2021,9.141,V ugm-3 (GRAV EMFAB)
04/02/2021,8.266,V ugm-3 (GRAV EMFAB)
05/02/2021,7.224,V ugm-3 (GRAV EMFAB)
06/02/2021,9.016,V ugm-3 (GRAV EMFAB)
07/02/2021,7.307,V ugm-3 (GRAV EMFAB)
08/02/2021,4.724,V ugm-3 (GRAV EMFAB)
09/02/2021,3.724,V ugm-3 (GRAV EMFAB)
10/02/2021,4.391,V ugm-3 (GRAV EMFAB)
11/02/2021,12.375,V ugm-3 (GRAV EMFAB)
12/02/2021,11.625,V ugm-3 (GRAV EMFAB)
13/02/2021,10.417,V ugm-3 (GRAV EMFAB)
14/02/2021,10.083,V ugm-3 (GRAV EMFAB)
15/02/2021,8.667,V ugm-3 (GRAV EMFAB)
16/02/2021,7.583,V ugm-3 (GRAV EMFAB)
17/02/2021,5.167,V ugm-3 (GRAV EMFAB)
18/02/2021,5.375,V ugm-3 (GRAV EMFAB)
19/02/2021,6.375,V ugm-3 (GRAV EMFAB)
20/02/2021,12.75,V ugm-3 (GRAV EMFAB)
21/02/2021,11.667,V ugm-3 (GRAV EMFAB)
22/02/2021,18.083,V ugm-3 (GRAV EMFAB)
23/02/2021,7.792,V ugm-3 (GRAV EMFAB)
24/02/2021,6.917,V ugm-3 (GRAV EMFAB)
25/02/2021,9.792,V ugm-3 (GRAV EMFAB)
26/02/2021,11,V ugm-3 (GRAV EMFAB)
27/02/2021,17.958,V ugm-3 (GRAV EMFAB)
28/02/2021,16.583,V ugm-3 (GRAV EMFAB)
01/03/2021,26.917,V ugm-3 (GRAV EMFAB)
02/03/2021,38.542,V ugm-3 (GRAV EMFAB)
03/03/2021,43.583,V ugm-3 (GRAV EMFAB)
04/03/2021,11.917,V ugm-3 (GRAV EMFAB)
05/03/2021,4.333,V ugm-3 (GRAV EMFAB)
06/03/2021,6.083,V ugm-3 (GRAV EMFAB)
07/03/2021,14.375,V ugm-3 (GRAV EMFAB)
08/03/2021,30.292,V ugm-3 (GRAV EMFAB)
09/03/2021,15.542,V ugm-3 (GRAV EMFAB)
10/03/2021,7.417,V ugm-3 (GRAV EMFAB)
11/03/2021,7.5,V ugm-3 (GRAV EMFAB)
12/03/2021,5.917,V ugm-3 (GRAV EMFAB)
13/03/2021,3.75,V ugm-3 (GRAV EMFAB)
14/03/2021,4.625,V ugm-3 (GRAV EMFAB)
15/03/2021,6.833,V ugm-3 (GRAV EMFAB)
16/03/2021,5.667,V ugm-3 (GRAV EMFAB)
17/03/2021,7.917,V ugm-3 (GRAV EMFAB)
18/03/2021,7.75,V ugm-3 (GRAV EMFAB)
19/03/2021,3.583,V ugm-3 (GRAV EMFAB)
20/03/2021,8.792,V ugm-3 (GRAV EMFAB)
21/03/2021,6.833,V ugm-3 (GRAV EMFAB)
22/03/2021,12.583,V ugm-3 (GRAV EMFAB)
23/03/2021,15.458,V ugm-3 (GRAV EMFAB)
24/03/2021,16.583,V ugm-3 (GRAV EMFAB)
25/03/2021,7.333,V ugm-3 (GRAV EMFAB)
26/03/2021,5.75,V ugm-3 (GRAV EMFAB)
27/03/2021,5.458,V ugm-3 (GRAV EMFAB)
28/03/2021,6.5,V ugm-3 (GRAV EMFAB)
