Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Bournemouth",,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Northampton Kingsthorpe",,"Wrexham",
Latitude,50.739570,,50.840836,,57.481308,,51.522530,,51.494670,,52.271886,,53.042282,,
Longitude,-1.826744,,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-0.879898,,-3.002829,,
Site Type,Urban Background,,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Background,,Urban Traffic,,
Zone,South West,,South East,,Highland,,Greater London,,Greater London,,East Midlands,,North Wales,,
Agglomeration,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,
Local Authority,"Bournemouth",,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Northampton",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2017-01-01,6.15,V ugm-3 (GRAV EMFAB),9.46,V ugm-3 (GRAV EMFAB),4.13,V ugm-3 (GRAV EMFAB),12.83,V ugm-3 (GRAV EMFAB),11.19,V ugm-3 (GRAV EMFAB),5.08,V ugm-3 (GRAV EMFAB),3.28,V ugm-3 (GRAV EMFAB)
2017-01-02,8.1,V ugm-3 (GRAV EMFAB),9.33,V ugm-3 (GRAV EMFAB),1.71,V ugm-3 (GRAV EMFAB),8.92,V ugm-3 (GRAV EMFAB),7.02,V ugm-3 (GRAV EMFAB),4.79,V ugm-3 (GRAV EMFAB),5.1,V ugm-3 (GRAV EMFAB)
2017-01-03,8.81,V ugm-3 (GRAV EMFAB),11.42,V ugm-3 (GRAV EMFAB),1.13,V ugm-3 (GRAV EMFAB),15.29,V ugm-3 (GRAV EMFAB),10.81,V ugm-3 (GRAV EMFAB),4.63,V ugm-3 (GRAV EMFAB),2.32,V ugm-3 (GRAV EMFAB)
2017-01-04,5.81,V ugm-3 (GRAV EMFAB),8.5,V ugm-3 (GRAV EMFAB),4.42,V ugm-3 (GRAV EMFAB),9.46,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),4.42,V ugm-3 (GRAV EMFAB),9.29,V ugm-3 (GRAV EMFAB)
2017-01-05,17.42,V ugm-3 (GRAV EMFAB),17.96,V ugm-3 (GRAV EMFAB),3.79,V ugm-3 (GRAV EMFAB),18.96,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),13.29,V ugm-3 (GRAV EMFAB),16.64,V ugm-3 (GRAV EMFAB)
2017-01-06,15.25,V ugm-3 (GRAV EMFAB),10.04,V ugm-3 (GRAV EMFAB),2.33,V ugm-3 (GRAV EMFAB),25.58,V ugm-3 (GRAV EMFAB),21.11,V ugm-3 (GRAV EMFAB),13.54,V ugm-3 (GRAV EMFAB),8.3,V ugm-3 (GRAV EMFAB)
2017-01-07,6.92,V ugm-3 (GRAV EMFAB),8.67,V ugm-3 (GRAV EMFAB),2.63,V ugm-3 (GRAV EMFAB),14.58,V ugm-3 (GRAV EMFAB),10.03,V ugm-3 (GRAV EMFAB),7.71,V ugm-3 (GRAV EMFAB),9.21,V ugm-3 (GRAV EMFAB)
2017-01-08,10,V ugm-3 (GRAV EMFAB),9.5,V ugm-3 (GRAV EMFAB),-0.17,V ugm-3 (GRAV EMFAB),19.42,V ugm-3 (GRAV EMFAB),13.32,V ugm-3 (GRAV EMFAB),11.92,V ugm-3 (GRAV EMFAB),7.55,V ugm-3 (GRAV EMFAB)
2017-01-09,4.83,V ugm-3 (GRAV EMFAB),7.46,V ugm-3 (GRAV EMFAB),1.75,V ugm-3 (GRAV EMFAB),14.5,V ugm-3 (GRAV EMFAB),6.49,V ugm-3 (GRAV EMFAB),3.92,V ugm-3 (GRAV EMFAB),3.49,V ugm-3 (GRAV EMFAB)
2017-01-10,4.25,V ugm-3 (GRAV EMFAB),11,V ugm-3 (GRAV EMFAB),4.25,V ugm-3 (GRAV EMFAB),15.63,V ugm-3 (GRAV EMFAB),8.11,V ugm-3 (GRAV EMFAB),4.58,V ugm-3 (GRAV EMFAB),7.84,V ugm-3 (GRAV EMFAB)
2017-01-11,6.85,V ugm-3 (GRAV EMFAB),8.25,V ugm-3 (GRAV EMFAB),3.38,V ugm-3 (GRAV EMFAB),13.13,V ugm-3 (GRAV EMFAB),7.65,V ugm-3 (GRAV EMFAB),5.29,V ugm-3 (GRAV EMFAB),6.47,V ugm-3 (GRAV EMFAB)
2017-01-12,2.5,V ugm-3 (GRAV EMFAB),4.46,V ugm-3 (GRAV EMFAB),2.04,V ugm-3 (GRAV EMFAB),12.58,V ugm-3 (GRAV EMFAB),6.07,V ugm-3 (GRAV EMFAB),4.63,V ugm-3 (GRAV EMFAB),3.78,V ugm-3 (GRAV EMFAB)
2017-01-13,3.54,V ugm-3 (GRAV EMFAB),3.63,V ugm-3 (GRAV EMFAB),2.63,V ugm-3 (GRAV EMFAB),6.46,V ugm-3 (GRAV EMFAB),5.07,V ugm-3 (GRAV EMFAB),5.04,V ugm-3 (GRAV EMFAB),3.57,V ugm-3 (GRAV EMFAB)
2017-01-14,3.67,V ugm-3 (GRAV EMFAB),8.71,V ugm-3 (GRAV EMFAB),4.29,V ugm-3 (GRAV EMFAB),10.46,V ugm-3 (GRAV EMFAB),7.07,V ugm-3 (GRAV EMFAB),4.88,V ugm-3 (GRAV EMFAB),4.27,V ugm-3 (GRAV EMFAB)
2017-01-15,5.08,V ugm-3 (GRAV EMFAB),6.29,V ugm-3 (GRAV EMFAB),2.25,V ugm-3 (GRAV EMFAB),9.79,V ugm-3 (GRAV EMFAB),7.24,V ugm-3 (GRAV EMFAB),4.63,V ugm-3 (GRAV EMFAB),2.53,V ugm-3 (GRAV EMFAB)
2017-01-16,4.04,V ugm-3 (GRAV EMFAB),9.04,V ugm-3 (GRAV EMFAB),1.63,V ugm-3 (GRAV EMFAB),15.21,V ugm-3 (GRAV EMFAB),9.28,V ugm-3 (GRAV EMFAB),9.17,V ugm-3 (GRAV EMFAB),3.4,V ugm-3 (GRAV EMFAB)
