Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Brighton Preston Park",,"London Marylebone Road",
Latitude,50.840836,,51.522530,,
Longitude,-0.147572,,-0.154611,,
Site Type,Urban Background,,Urban Traffic,,
Zone,South East,,Greater London,,
Agglomeration,Brighton/Worthing/Littlehampton,,Greater London Urban Area,,
Local Authority,"Brighton",,"Westminster",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2019-01-01,5.229,V ugm-3 (GRAV EMFAB),6.347,V ugm-3 (GRAV EMFAB)
2019-01-02,8.438,V ugm-3 (GRAV EMFAB),6.639,V ugm-3 (GRAV EMFAB)
2019-01-03,9.813,V ugm-3 (GRAV EMFAB),8.514,V ugm-3 (GRAV EMFAB)
2019-01-04,25.667,V ugm-3 (GRAV EMFAB),18.931,V ugm-3 (GRAV EMFAB)
2019-01-05,20.875,V ugm-3 (GRAV EMFAB),19.931,V ugm-3 (GRAV EMFAB)
2019-01-06,13.5,V ugm-3 (GRAV EMFAB),15.806,V ugm-3 (GRAV EMFAB)
2019-01-07,8.292,V ugm-3 (GRAV EMFAB),7.42,V ugm-3 (GRAV EMFAB)
2019-01-08,9.042,V ugm-3 (GRAV EMFAB),6.347,V ugm-3 (GRAV EMFAB)
2019-01-09,8.583,V ugm-3 (GRAV EMFAB),6.139,V ugm-3 (GRAV EMFAB)
2019-01-10,25.083,V ugm-3 (GRAV EMFAB),22.208,V ugm-3 (GRAV EMFAB)
2019-01-11,20.625,V ugm-3 (GRAV EMFAB),14.292,V ugm-3 (GRAV EMFAB)
2019-01-12,7.042,V ugm-3 (GRAV EMFAB),6.958,V ugm-3 (GRAV EMFAB)
2019-01-13,4,V ugm-3 (GRAV EMFAB),5.042,V ugm-3 (GRAV EMFAB)
2019-01-14,5.542,V ugm-3 (GRAV EMFAB),7.875,V ugm-3 (GRAV EMFAB)
2019-01-15,3.792,V ugm-3 (GRAV EMFAB),10,V ugm-3 (GRAV EMFAB)
2019-01-16,6.542,V ugm-3 (GRAV EMFAB),7.875,V ugm-3 (GRAV EMFAB)
2019-01-17,4.875,V ugm-3 (GRAV EMFAB),7.583,V ugm-3 (GRAV EMFAB)
2019-01-18,6.958,V ugm-3 (GRAV EMFAB),12.5,V ugm-3 (GRAV EMFAB)
2019-01-19,9.333,V ugm-3 (GRAV EMFAB),2.917,V ugm-3 (GRAV EMFAB)
2019-01-20,20.292,V ugm-3 (GRAV EMFAB),25.875,V ugm-3 (GRAV EMFAB)
2019-01-21,19.292,V ugm-3 (GRAV EMFAB),36.25,V ugm-3 (GRAV EMFAB)
2019-01-22,6.667,V ugm-3 (GRAV EMFAB),10.833,V ugm-3 (GRAV EMFAB)
