date,pm25,split,n_stations,n_regions
2016-01-01,7.313444444444444,train,10.0,6.0
2016-01-02,7.656714285714286,train,10.0,6.0
2016-01-03,4.42275,train,10.0,6.0
2016-01-04,7.700999999999999,train,10.0,6.0
2016-01-05,4.6706666666666665,train,10.0,6.0
2016-01-06,4.325777777777778,train,10.0,6.0
2016-01-07,3.749888888888889,train,10.0,6.0
2016-01-08,4.1511000000000005,train,10.0,6.0
2016-01-09,5.5907,train,10.0,6.0
2016-01-10,5.156888888888889,train,10.0,6.0
2016-01-11,15.29442857142857,train,10.0,6.0
2016-01-12,21.78816666666667,train,10.0,6.0
2016-01-13,5.719875,train,10.0,6.0
2016-01-14,2.6069999999999998,train,10.0,6.0
2016-01-15,4.6825,train,10.0,6.0
2016-01-16,13.744625,train,10.0,6.0
2016-01-17,8.87625,train,10.0,6.0
2016-01-18,11.897,train,10.0,6.0
2016-01-19,23.255125,train,10.0,6.0
2016-01-20,26.77075,train,10.0,6.0
2016-01-21,17.787125,train,10.0,6.0
2016-01-22,8.098125,train,10.0,6.0
2016-01-23,8.1355,train,10.0,6.0
2016-01-24,5.097875,train,10.0,6.0
2016-01-25,5.4037500000000005,train,10.0,6.0
2016-01-26,4.06425,train,10.0,6.0
2016-01-27,2.48975,train,10.0,6.0
2016-01-28,4.6263749999999995,train,10.0,6.0
2016-01-29,3.1877142857142857,train,10.0,6.0
2016-01-30,3.585,train,10.0,6.0
2016-01-31,4.798571428571428,train,10.0,6.0
2016-02-01,4.8902222222222225,train,10.0,6.0
2016-02-02,5.467125,train,10.0,6.0
2016-02-03,4.026777777777777,train,10.0,6.0
2016-02-04,10.9898,train,10.0,6.0
2016-02-05,4.126444444444444,train,10.0,6.0
2016-02-06,5.4862222222222226,train,10.0,6.0
2016-02-07,3.3304444444444443,train,10.0,6.0
2016-02-08,4.376,train,10.0,6.0
2016-02-09,4.5612,train,10.0,6.0
2016-02-10,5.499777777777777,train,10.0,6.0
2016-02-11,9.20142857142857,train,10.0,6.0
2016-02-12,19.07466666666667,train,10.0,6.0
2016-02-13,12.2135,train,10.0,6.0
2016-02-14,6.7135,train,10.0,6.0
2016-02-15,5.968428571428572,train,10.0,6.0
2016-02-16,8.106428571428571,train,10.0,6.0
2016-02-17,7.742777777777778,train,10.0,6.0
2016-02-18,7.0329999999999995,train,10.0,6.0
2016-02-19,5.973375,train,10.0,6.0
2016-02-20,2.913444444444445,train,10.0,6.0
2016-02-21,2.777333333333333,train,10.0,6.0
2016-02-22,3.5959999999999996,train,10.0,6.0
2016-02-23,5.695666666666667,train,10.0,6.0
2016-02-24,12.80775,train,10.0,6.0
2016-02-25,12.500222222222222,train,10.0,6.0
2016-02-26,14.252333333333333,train,10.0,6.0
2016-02-27,16.922444444444444,train,10.0,6.0
2016-02-28,6.297444444444444,train,10.0,6.0
2016-02-29,6.217888888888889,train,10.0,6.0
2016-03-01,4.759,train,10.0,6.0
2016-03-02,4.952888888888889,train,10.0,6.0
2016-03-03,4.3829,train,10.0,6.0
2016-03-04,13.384,train,10.0,6.0
2016-03-05,4.940555555555556,train,10.0,6.0
2016-03-06,6.226111111111111,train,10.0,6.0
2016-03-07,3.6226666666666665,train,10.0,6.0
2016-03-08,4.506888888888889,train,10.0,6.0
2016-03-09,4.815099999999999,train,10.0,6.0
2016-03-10,7.894375,train,10.0,6.0
2016-03-11,12.685714285714285,train,10.0,6.0
2016-03-12,8.545714285714286,train,10.0,6.0
2016-03-13,25.398,train,10.0,6.0
2016-03-14,15.037333333333335,train,10.0,6.0
2016-03-15,13.1257,train,10.0,6.0
2016-03-16,10.2473,train,10.0,6.0
2016-03-17,21.268,train,10.0,6.0
2016-03-18,11.984300000000001,train,10.0,6.0
2016-03-19,5.436400000000001,train,10.0,6.0
2016-03-20,7.4327,train,10.0,6.0
2016-03-21,10.2744,train,10.0,6.0
2016-03-22,12.8272,train,10.0,6.0
2016-03-23,19.0953,train,10.0,6.0
2016-03-24,9.7258,train,10.0,6.0
2016-03-25,5.7131,train,10.0,6.0
2016-03-26,5.3589,train,10.0,6.0
2016-03-27,4.1181,train,10.0,6.0
2016-03-28,3.4103000000000003,train,10.0,6.0
2016-03-29,3.9761111111111114,train,10.0,6.0
2016-03-30,4.7604999999999995,train,10.0,6.0
2016-03-31,5.542111111111111,train,10.0,6.0
2016-04-01,5.484888888888889,train,10.0,6.0
2016-04-02,4.914125,train,10.0,6.0
2016-04-03,4.792111111111112,train,10.0,6.0
2016-04-04,7.5986,train,10.0,6.0
2016-04-05,7.219333333333334,train,10.0,6.0
2016-04-06,12.292222222222222,train,10.0,6.0
2016-04-07,3.6325555555555553,train,10.0,6.0
2016-04-08,4.3985,train,10.0,6.0
2016-04-09,4.0126,train,10.0,6.0
2016-04-10,9.190999999999999,train,10.0,6.0
2016-04-11,9.799000000000001,train,10.0,6.0
2016-04-12,11.503142857142858,train,10.0,6.0
2016-04-13,7.8344,train,10.0,6.0
2016-04-14,10.4612,train,10.0,6.0
2016-04-15,6.881600000000001,train,10.0,6.0
2016-04-16,3.682,train,10.0,6.0
2016-04-17,4.3677,train,10.0,6.0
2016-04-18,5.455,train,10.0,6.0
2016-04-19,6.0733,train,10.0,6.0
2016-04-20,7.547700000000001,train,10.0,6.0
2016-04-21,9.6458,train,10.0,6.0
