date,station,region,pm25,pm25_treated,outlier,split
2016-01-01,Auchencorth Moss,Scotland,2.886,2.886,False,train
2016-01-02,Auchencorth Moss,Scotland,,,False,train
2016-01-03,Auchencorth Moss,Scotland,1.553,1.553,False,train
2016-01-04,Auchencorth Moss,Scotland,1.942,1.942,False,train
2016-01-05,Auchencorth Moss,Scotland,2.48,2.48,False,train
2016-01-06,Auchencorth Moss,Scotland,3.75,3.75,False,train
2016-01-07,Auchencorth Moss,Scotland,0.417,0.417,False,train
2016-01-08,Auchencorth Moss,Scotland,1.958,1.958,False,train
2016-01-09,Auchencorth Moss,Scotland,2.0,2.0,False,train
2016-01-10,Auchencorth Moss,Scotland,2.628,2.628,False,train
2016-01-11,Auchencorth Moss,Scotland,,,False,train
2016-01-12,Auchencorth Moss,Scotland,,,False,train
2016-01-13,Auchencorth Moss,Scotland,1.296,1.296,False,train
2016-01-14,Auchencorth Moss,Scotland,-0.043,-0.043,False,train
2016-01-15,Auchencorth Moss,Scotland,0.605,0.605,False,train
2016-01-16,Auchencorth Moss,Scotland,2.81,2.81,False,train
2016-01-17,Auchencorth Moss,Scotland,0.778,0.778,False,train
2016-01-18,Auchencorth Moss,Scotland,5.881,5.881,False,train
2016-01-19,Auchencorth Moss,Scotland,7.137,7.137,False,train
2016-01-20,Auchencorth Moss,Scotland,5.019,5.019,False,train
2016-01-21,Auchencorth Moss,Scotland,6.664,6.664,False,train
2016-01-22,Auchencorth Moss,Scotland,2.294,2.294,False,train
2016-01-23,Auchencorth Moss,Scotland,4.416,4.416,False,train
2016-01-24,Auchencorth Moss,Scotland,0.26,0.26,False,train
2016-01-25,Auchencorth Moss,Scotland,3.595,3.595,False,train
2016-01-26,Auchencorth Moss,Scotland,1.17,1.17,False,train
2016-01-27,Auchencorth Moss,Scotland,0.043,0.043,False,train
2016-01-28,Auchencorth Moss,Scotland,2.254,2.254,False,train
2016-01-29,Auchencorth Moss,Scotland,,,False,train
2016-01-30,Auchencorth Moss,Scotland,,,False,train
2016-01-31,Auchencorth Moss,Scotland,,,False,train
2016-02-01,Auchencorth Moss,Scotland,1.12,1.12,False,train
2016-02-02,Auchencorth Moss,Scotland,2.951,2.951,False,train
2016-02-03,Auchencorth Moss,Scotland,1.816,1.816,False,train
2016-02-04,Auchencorth Moss,Scotland,0.359,0.359,False,train
2016-02-05,Auchencorth Moss,Scotland,2.613,2.613,False,train
2016-02-06,Auchencorth Moss,Scotland,3.958,3.958,False,train
2016-02-07,Auchencorth Moss,Scotland,1.333,1.333,False,train
2016-02-08,Auchencorth Moss,Scotland,2.417,2.417,False,train
2016-02-09,Auchencorth Moss,Scotland,1.292,1.292,False,train
2016-02-10,Auchencorth Moss,Scotland,1.92,1.92,False,train
2016-02-11,Auchencorth Moss,Scotland,,,False,train
