The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",,,,,
Latitude,,51.522530,,,,,,
Longitude,,-0.154611,,,,,,
Site Type,,Urban Traffic,,,,,,
Zone,,Greater London,,,,,,
Agglomeration,,Greater London Urban Area,,,,,,
Local Authority,,"Westminster",,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status
2021-01-01,01:00:00,28.53851,V ugm-3,6.08624,V ugm-3,20.99867,V ugm-3
2021-01-01,02:00:00,22.15227,V ugm-3,7.40564,V ugm-3,26.71965,V ugm-3
2021-01-01,03:00:00,31.03314,V ugm-3,5.01157,V ugm-3,21.01699,V ugm-3
2021-01-01,04:00:00,26.04389,V ugm-3,12.76834,V ugm-3,26.59591,V ugm-3
2021-01-01,05:00:00,18.62653,V ugm-3,9.09745,V ugm-3,27.38453,V ugm-3
2021-01-01,06:00:00,17.46238,V ugm-3,14.77936,V ugm-3,23.7544,V ugm-3
2021-01-01,07:00:00,18.56001,V ugm-3,14.10902,V ugm-3,24.15303,V ugm-3
2021-01-01,08:00:00,15.317,V ugm-3,13.69405,V ugm-3,28.08053,V ugm-3
2021-01-01,09:00:00,15.86582,V ugm-3,11.90648,V ugm-3,29.03062,V ugm-3
2021-01-01,10:00:00,14.10295,V ugm-3,18.99291,V ugm-3,34.71777,V ugm-3
2021-01-01,11:00:00,15.03427,V ugm-3,24.54714,V ugm-3,36.02664,V ugm-3
2021-01-01,12:00:00,9.44631,V ugm-3,31.69741,V ugm-3,37.11468,V ugm-3
2021-01-01,13:00:00,7.65018,V ugm-3,25.56861,V ugm-3,36.63842,V ugm-3
2021-01-01,14:00:00,4.05792,V ugm-3,43.31661,V ugm-3,40.15931,V ugm-3
2021-01-01,15:00:00,2.46136,V ugm-3,44.49768,V ugm-3,39.55836,V ugm-3
2021-01-01,16:00:00,1.72961,V ugm-3,54.87196,V ugm-3,38.07461,V ugm-3
2021-01-01,17:00:00,1.39699,V ugm-3,53.97818,V ugm-3,43.94627,V ugm-3
2021-01-01,18:00:00,1.49678,V ugm-3,45.80644,V ugm-3,41.71404,V ugm-3
2021-01-01,19:00:00,1.33047,V ugm-3,32.65504,V ugm-3,39.32475,V ugm-3
2021-01-01,20:00:00,3.19312,V ugm-3,11.55535,V ugm-3,33.29582,V ugm-3
2021-01-01,21:00:00,12.90553,V ugm-3,7.5014,V ugm-3,25.81454,V ugm-3
2021-01-01,22:00:00,21.0879,V ugm-3,5.68191,V ugm-3,16.02034,V ugm-3
2021-01-01,23:00:00,25.74453,V ugm-3,6.12881,V ugm-3,11.99551,V ugm-3
2021-01-01,24:00:00,24.8132,V ugm-3,5.61807,V ugm-3,15.24703,V ugm-3
2021-01-02,01:00:00,No data,V ugm-3,4.33536,V ugm-3,9.76401,V ugm-3
2021-01-02,02:00:00,No data,V ugm-3,3.1764,V ugm-3,9.01123,V ugm-3
2021-01-02,03:00:00,29.53636,V ugm-3,1.83501,V ugm-3,7.35432,V ugm-3
2021-01-02,04:00:00,30.53421,V ugm-3,2.57546,V ugm-3,10.7435,V ugm-3
2021-01-02,05:00:00,31.19944,V ugm-3,1.93159,V ugm-3,8.3252,V ugm-3
2021-01-02,06:00:00,30.26812,V ugm-3,4.15293,V ugm-3,11.29243,V ugm-3
2021-01-02,07:00:00,No data,V ugm-3,6.14891,V ugm-3,11.92942,V ugm-3
2021-01-02,08:00:00,27.60718,V ugm-3,7.88734,V ugm-3,18.06961,V ugm-3
2021-01-02,09:00:00,25.14582,V ugm-3,24.14493,V ugm-3,41.98686,V ugm-3
2021-01-02,10:00:00,23.01707,V ugm-3,12.33001,V ugm-3,22.0094,V ugm-3
2021-01-02,11:00:00,18.75958,V ugm-3,17.6097,V ugm-3,27.63345,V ugm-3
2021-01-02,12:00:00,24.48059,V ugm-3,11.65395,V ugm-3,24.50552,V ugm-3
2021-01-02,13:00:00,30.68389,V ugm-3,13.61774,V ugm-3,21.29982,V ugm-3
2021-01-02,14:00:00,36.7874,V ugm-3,9.69017,V ugm-3,19.58657,V ugm-3
2021-01-02,15:00:00,30.26812,V ugm-3,10.43061,V ugm-3,23.17035,V ugm-3
2021-01-02,16:00:00,16.76388,V ugm-3,17.19119,V ugm-3,30.56174,V ugm-3
2021-01-02,17:00:00,15.83255,V ugm-3,16.70829,V ugm-3,33.58875,V ugm-3
2021-01-02,18:00:00,10.92646,V ugm-3,18.76866,V ugm-3,40.35429,V ugm-3
2021-01-02,19:00:00,7.38409,V ugm-3,23.27571,V ugm-3,43.22234,V ugm-3
2021-01-02,20:00:00,5.88732,V ugm-3,20.9578,V ugm-3,44.58714,V ugm-3
2021-01-02,21:00:00,9.47958,V ugm-3,12.90949,V ugm-3,40.09461,V ugm-3
2021-01-02,22:00:00,16.26496,V ugm-3,9.78675,V ugm-3,31.69844,V ugm-3
2021-01-02,23:00:00,15.26711,V ugm-3,13.52116,V ugm-3,33.51326,V ugm-3
2021-01-02,24:00:00,21.25421,V ugm-3,5.2153,V ugm-3,20.17201,V ugm-3
2021-01-03,01:00:00,20.8218,V ugm-3,4.71834,V ugm-3,21.84512,V ugm-3
2021-01-03,02:00:00,34.85823,V ugm-3,2.4241,V ugm-3,10.43179,V ugm-3
2021-01-03,03:00:00,40.5626,V ugm-3,1.20123,V ugm-3,6.42241,V ugm-3
2021-01-03,04:00:00,39.86411,V ugm-3,1.16876,V ugm-3,8.62384,V ugm-3
2021-01-03,05:00:00,30.13507,V ugm-3,3.96081,V ugm-3,15.00319,V ugm-3
2021-01-03,06:00:00,26.94195,V ugm-3,2.88944,V ugm-3,10.97341,V ugm-3
2021-01-03,07:00:00,24.49722,V ugm-3,7.56449,V ugm-3,14.17212,V ugm-3
2021-01-03,08:00:00,20.30625,V ugm-3,7.79175,V ugm-3,17.44233,V ugm-3
2021-01-03,09:00:00,23.05034,V ugm-3,6.81778,V ugm-3,14.73024,V ugm-3
2021-01-03,10:00:00,21.85292,V ugm-3,7.53202,V ugm-3,16.47134,V ugm-3
2021-01-03,11:00:00,22.45163,V ugm-3,7.69435,V ugm-3,15.29332,V ugm-3
2021-01-03,12:00:00,22.90066,V ugm-3,9.1553,V ugm-3,15.98729,V ugm-3
2021-01-03,13:00:00,24.54711,V ugm-3,9.31763,V ugm-3,17.30322,V ugm-3
2021-01-03,14:00:00,27.74023,V ugm-3,7.14244,V ugm-3,13.59673,V ugm-3
2021-01-03,15:00:00,25.99399,V ugm-3,6.81778,V ugm-3,16.09947,V ugm-3
2021-01-03,16:00:00,17.91141,V ugm-3,24.05702,V ugm-3,25.80418,V ugm-3
2021-01-03,17:00:00,17.3127,V ugm-3,8.2138,V ugm-3,24.86386,V ugm-3
2021-01-03,18:00:00,26.5927,V ugm-3,6.49312,V ugm-3,19.72693,V ugm-3
2021-01-03,19:00:00,20.75528,V ugm-3,5.74641,V ugm-3,22.87681,V ugm-3
2021-01-03,20:00:00,20.80517,V ugm-3,6.62299,V ugm-3,23.4399,V ugm-3
2021-01-03,21:00:00,19.15872,V ugm-3,5.74641,V ugm-3,24.88175,V ugm-3
2021-01-03,22:00:00,23.89851,V ugm-3,2.72711,V ugm-3,17.48164,V ugm-3
2021-01-03,23:00:00,26.24346,V ugm-3,2.53232,V ugm-3,15.33527,V ugm-3
2021-01-03,24:00:00,27.64045,V ugm-3,2.01287,V ugm-3,12.65977,V ugm-3
2021-01-04,01:00:00,33.9269,V ugm-3,1.44047,V ugm-3,8.80123,V ugm-3
2021-01-04,02:00:00,32.46339,V ugm-3,1.39682,V ugm-3,7.16424,V ugm-3
2021-01-04,03:00:00,34.5755,V ugm-3,0.78571,V ugm-3,5.72561,V ugm-3
2021-01-04,04:00:00,37.96819,V ugm-3,1.27678,V ugm-3,5.70992,V ugm-3
2021-01-04,05:00:00,38.36733,V ugm-3,1.76785,V ugm-3,5.69423,V ugm-3
2021-01-04,06:00:00,35.39041,V ugm-3,4.32142,V ugm-3,9.6922,V ugm-3
2021-01-04,07:00:00,32.48002,V ugm-3,4.81248,V ugm-3,11.93747,V ugm-3
2021-01-04,08:00:00,31.98109,V ugm-3,5.43451,V ugm-3,13.5396,V ugm-3
2021-01-04,09:00:00,30.33464,V ugm-3,4.84522,V ugm-3,15.03297,V ugm-3
2021-01-04,10:00:00,29.20374,V ugm-3,5.30356,V ugm-3,17.08268,V ugm-3
2021-01-04,11:00:00,32.72948,V ugm-3,4.94344,V ugm-3,15.6688,V ugm-3
2021-01-04,12:00:00,36.87056,V ugm-3,4.77975,V ugm-3,15.08421,V ugm-3
2021-01-04,13:00:00,38.26755,V ugm-3,4.74701,V ugm-3,14.8395,V ugm-3
2021-01-04,14:00:00,37.86841,V ugm-3,4.48511,V ugm-3,16.96138,V ugm-3
2021-01-04,15:00:00,37.12002,V ugm-3,6.2857,V ugm-3,17.0513,V ugm-3
2021-01-04,16:00:00,36.37163,V ugm-3,4.55058,V ugm-3,16.12371,V ugm-3
2021-01-04,17:00:00,31.68174,V ugm-3,5.8601,V ugm-3,17.80217,V ugm-3
2021-01-04,18:00:00,30.83357,V ugm-3,4.84522,V ugm-3,20.04641,V ugm-3
2021-01-04,19:00:00,33.07873,V ugm-3,4.74701,V ugm-3,20.68852,V ugm-3
2021-01-04,20:00:00,36.67099,V ugm-3,4.32142,V ugm-3,16.6717,V ugm-3
2021-01-04,21:00:00,36.42153,V ugm-3,4.32142,V ugm-3,15.49207,V ugm-3
2021-01-04,22:00:00,37.9183,V ugm-3,4.19046,V ugm-3,14.07086,V ugm-3
2021-01-04,23:00:00,40.6125,V ugm-3,3.04463,V ugm-3,10.76518,V ugm-3
2021-01-04,24:00:00,40.36303,V ugm-3,3.07737,V ugm-3,10.91159,V ugm-3
2021-01-05,01:00:00,42.37536,V ugm-3,2.42076,V ugm-3,8.40814,V ugm-3
2021-01-05,02:00:00,44.90325,V ugm-3,1.10035,V ugm-3,5.75604,V ugm-3
2021-01-05,03:00:00,45.15271,V ugm-3,1.25439,V ugm-3,4.40006,V ugm-3
2021-01-05,04:00:00,43.10712,V ugm-3,1.38644,V ugm-3,4.79042,V ugm-3
2021-01-05,05:00:00,41.85981,V ugm-3,1.94761,V ugm-3,6.25185,V ugm-3
2021-01-05,06:00:00,37.76862,V ugm-3,5.38069,V ugm-3,9.92961,V ugm-3
2021-01-05,07:00:00,34.12647,V ugm-3,6.43702,V ugm-3,15.12738,V ugm-3
2021-01-05,08:00:00,29.23701,V ugm-3,8.68173,V ugm-3,22.99857,V ugm-3
2021-01-05,09:00:00,29.0707,V ugm-3,8.2856,V ugm-3,22.46971,V ugm-3
2021-01-05,10:00:00,28.73808,V ugm-3,10.99245,V ugm-3,23.70406,V ugm-3
2021-01-05,11:00:00,28.38883,V ugm-3,9.07785,V ugm-3,21.15614,V ugm-3
2021-01-05,12:00:00,29.53636,V ugm-3,8.41765,V ugm-3,18.06809,V ugm-3
2021-01-05,13:00:00,26.5927,V ugm-3,9.14387,V ugm-3,21.99355,V ugm-3
