Daily measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Marylebone Road",
Latitude,51.522530,,
Longitude,-0.154611,,
Site Type,Urban Traffic,,
Zone,Greater London,,
Agglomeration,Greater London Urban Area,,
Local Authority,"Westminster",,
Date,"PM10 particulate matter (Daily measured)",Status
2021-01-01,21.254,V ugm-3 (GRAV EMFAB)
2021-01-02,7.629,V ugm-3 (GRAV EMFAB)
2021-01-03,7.838,V ugm-3 (GRAV EMFAB)
2021-01-04,7.171,V ugm-3 (GRAV EMFAB)
2021-01-05,7.671,V ugm-3 (GRAV EMFAB)
2021-01-06,10.129,V ugm-3 (GRAV EMFAB)
2021-01-07,25.379,V ugm-3 (GRAV EMFAB)
2021-01-08,No data,V ugm-3 (GRAV EMFAB)
2021-01-09,20.296,V ugm-3 (GRAV EMFAB)
2021-01-10,17.796,V ugm-3 (GRAV EMFAB)
2021-01-11,No data,V ugm-3 (GRAV EMFAB)
2021-01-12,8.629,V ugm-3 (GRAV EMFAB)
2021-01-13,19.5,V ugm-3 (GRAV EMFAB)
2021-01-14,5.966,V ugm-3 (GRAV EMFAB)
2021-01-15,16.875,V ugm-3 (GRAV EMFAB)
2021-01-16,13.25,V ugm-3 (GRAV EMFAB)
2021-01-17,No data,V ugm-3 (GRAV EMFAB)
2021-01-18,No data,V ugm-3 (GRAV EMFAB)
2021-01-19,8.583,V ugm-3 (GRAV EMFAB)
2021-01-20,10.583,V ugm-3 (GRAV EMFAB)
2021-01-21,14.958,V ugm-3 (GRAV EMFAB)
2021-01-22,18.216,V ugm-3 (GRAV EMFAB)
2021-01-23,15.25,V ugm-3 (GRAV EMFAB)
2021-01-24,12.375,V ugm-3 (GRAV EMFAB)
2021-01-25,15.145,V ugm-3 (GRAV EMFAB)
2021-01-26,15.062,V ugm-3 (GRAV EMFAB)
2021-01-27,No data,V ugm-3 (GRAV EMFAB)
2021-01-28,11.608,V ugm-3 (GRAV EMFAB)
2021-01-29,No data,V ugm-3 (GRAV EMFAB)
2021-01-30,No data,V ugm-3 (GRAV EMFAB)
2021-01-31,No data,V ugm-3 (GRAV EMFAB)
2021-02-01,No data,V ugm-3 (GRAV EMFAB)
2021-02-02,No data,V ugm-3 (GRAV EMFAB)
2021-02-03,24.423,V ugm-3 (GRAV EMFAB)
2021-02-04,16.733,V ugm-3 (GRAV EMFAB)
2021-02-05,14.942,V ugm-3 (GRAV EMFAB)
2021-02-06,12.525,V ugm-3 (GRAV EMFAB)
2021-02-07,12.233,V ugm-3 (GRAV EMFAB)
