date,mean_relative_humidity_pct,hourly_obs_count,relative_humidity_max_pct,relative_humidity_min_pct,mean_relative_humidity_iqr_outlier,relative_humidity_max_iqr_outlier,relative_humidity_min_iqr_outlier,humidity_imputed_from_st_james,humidity_imputed_from_northolt
2022-04-07,58.949999999999996,24,89.1,34.7,False,False,False,False,False
2022-04-08,59.78333333333333,24,79.3,37.0,False,False,False,False,False
2022-04-09,56.104166666666664,24,86.4,32.0,False,False,False,False,False
2022-04-10,49.99166666666667,24,75.2,30.7,False,False,False,False,False
2022-04-11,51.479166666666664,24,70.6,26.5,False,False,False,False,False
2022-04-12,68.86666666666666,24,84.3,59.4,False,False,False,False,False
2022-04-13,71.25416666666666,24,88.8,51.0,False,False,False,False,False
2022-04-14,68.52916666666667,24,93.4,48.6,False,False,False,False,False
2022-04-15,63.0625,24,86.0,41.9,False,False,False,False,False
2022-04-16,66.94166666666666,24,89.3,42.1,False,False,False,False,False
2022-04-17,51.10833333333333,24,87.7,17.2,False,False,False,False,False
2022-04-18,55.90416666666667,24,84.2,31.8,False,False,False,False,False
2022-04-19,57.88333333333333,24,75.9,43.3,False,False,False,False,False
2022-04-20,56.39166666666667,24,89.0,27.9,False,False,False,False,False
2022-04-21,56.75416666666666,24,82.5,35.1,False,False,False,False,False
2022-04-22,62.395833333333336,24,77.0,48.4,False,False,False,False,False
2022-04-23,64.69583333333334,24,77.8,48.7,False,False,False,False,False
2022-04-24,56.75833333333333,24,82.6,37.2,False,False,False,False,False
2022-04-25,66.1125,24,85.5,48.4,False,False,False,False,False
2022-04-26,55.05416666666667,24,81.0,32.1,False,False,False,False,False
2022-04-27,59.237500000000004,24,73.6,49.6,False,False,False,False,False
2022-04-28,60.95416666666667,24,71.8,52.2,False,False,False,False,False
2022-04-29,60.70416666666667,24,78.4,48.5,False,False,False,False,False
2022-04-30,55.916666666666664,24,73.4,33.4,False,False,False,False,False
2022-05-01,65.49166666666666,24,83.6,43.9,False,False,False,False,False
2022-05-02,68.19583333333334,24,88.2,52.1,False,False,False,False,False
2022-05-03,74.41666666666667,24,86.3,66.5,False,False,False,False,False
2022-05-04,75.03750000000001,24,86.4,53.4,False,False,False,False,False
2022-05-05,65.10416666666667,24,87.7,46.6,False,False,False,False,False
2022-05-06,63.125,24,87.8,32.9,False,False,False,False,False
2022-05-07,77.41666666666667,24,96.4,59.6,False,False,False,False,False
2022-05-08,61.34583333333333,24,82.0,40.2,False,False,False,False,False
2022-05-09,60.28333333333333,24,84.7,45.0,False,False,False,False,False
2022-05-10,64.03333333333333,24,80.9,42.4,False,False,False,False,False
2022-05-11,79.58333333333333,24,92.3,61.1,False,False,False,False,False
2022-05-12,66.63333333333334,24,93.2,43.9,False,False,False,False,False
