# Average permutation-importance ranks. Rank 1 = most important.
# Trees: Random_Forest_multistep.ipynb and XG Boost-2_multistep.ipynb only (not Random_Forest.ipynb / XG Boost-2.ipynb).
# RF values: rf_results_path/rf_permutation_importance_{h}d.csv (direct model for lead h; sklearn n_repeats=20).
# XGB values: xgb_results_path/xgboost_feature_importance_across_horizons.csv columns '{h} Day' (same protocol).
# CNN-LSTM / PatchTST: cnn_lstm.ipynb and transformer.ipynb multi-output path models; plot top 15 only; unlisted = 16.
# LSTM/GRU (gru_lstm_multi_horizon_.ipynb) have no permutation run and are omitted.
# Day 1 has no neural ranks. Do not average raw importance across implementations.
horizon_days,feature,mean_rank,n_models,mean_rank_rf_xgb,rf_rank,xgb_rank,cnn_lstm_rank,transformer_rank,rf_importance,xgb_importance
1,pm25_rollmean3,1.0,2,1.0,1,1,,,0.823698,0.694206
1,mean_wind_speed_knots,2.0,2,2.0,2,2,,,0.316502,0.32228
1,wind_speed_max_knots,3.0,2,3.0,3,3,,,0.284081,0.263289
1,temperature_max_c,4.0,2,4.0,4,4,,,0.084496,0.136293
1,temperature_avg_c,6.0,2,6.0,6,6,,,0.033776,0.024993
1,day_of_year,6.5,2,6.5,8,5,,,0.018761,0.035123
1,doy_sin,7.0,2,7.0,7,7,,,0.02214,0.023684
1,pm25_lag1,9.0,2,9.0,10,8,,,0.017824,0.020884
1,pm25_lag7,11.5,2,11.5,9,14,,,0.018692,0.011591
1,relative_humidity_min_pct,11.5,2,11.5,11,12,,,0.013527,0.013753
1,air_pressure_min_hpa,12.0,2,12.0,13,11,,,0.011551,0.014133
1,pm25_rollstd3,13.0,2,13.0,5,21,,,0.036099,0.004077
1,air_pressure_max_hpa,13.5,2,13.5,14,13,,,0.010345,0.01369
1,day_of_month,14.5,2,14.5,20,9,,,0.006622,0.014314
1,mean_air_pressure_hpa,15.5,2,15.5,12,19,,,0.011642,0.006284
1,doy_cos,16.0,2,16.0,22,10,,,0.006325,0.014142
1,mean_relative_humidity_pct,16.5,2,16.5,17,16,,,0.00908,0.007921
1,precipitation_max_mm,16.5,2,16.5,18,15,,,0.007965,0.010189
1,total_precipitation_mm,17.0,2,17.0,16,18,,,0.009381,0.006509
1,week_sin,18.0,2,18.0,19,17,,,0.007274,0.007477
1,wind_direction_deg,21.5,2,21.5,23,20,,,0.006137,0.004963
1,month_sin,24.0,2,24.0,26,22,,,0.003045,0.004028
1,week_of_year,24.0,2,24.0,21,27,,,0.006408,0.002627
1,relative_humidity_max_pct,24.5,2,24.5,24,25,,,0.005318,0.003081
1,wind_speed_min_knots,25.5,2,25.5,25,26,,,0.004754,0.002826
1,day_of_week_x,26.5,2,26.5,30,23,,,0.001588,0.003445
1,temperature_min_c,27.5,2,27.5,15,40,,,0.009568,-0.0054
1,month,28.0,2,28.0,28,28,,,0.002228,0.0022
1,month_cos,28.0,2,28.0,32,24,,,0.000979,0.003206
1,day_of_week_y,29.0,2,29.0,29,29,,,0.001803,0.002136
1,quarter_num,31.0,2,31.0,27,35,,,0.002323,0.0
1,quarter,31.5,2,31.5,31,32,,,0.001039,0.000281
1,dow_cos,34.5,2,34.5,38,31,,,-0.00062,0.000851
1,is_weekday,34.5,2,34.5,36,33,,,-2e-05,0.000228
1,precipitation_min_mm,34.5,2,34.5,34,35,,,0.0,0.0
1,year,34.5,2,34.5,34,35,,,0.0,0.0
1,dow_sin,35.0,2,35.0,40,30,,,-0.002618,0.002128
1,is_weekend,35.5,2,35.5,37,34,,,-3.9e-05,7.9e-05
1,season_code,36.0,2,36.0,33,39,,,0.000268,-0.001628
1,week_cos,38.5,2,38.5,39,38,,,-0.001296,-0.00068
7,temperature_avg_c,3.5,4,1.0,1,1,5,7,0.096103,0.099532
7,temperature_min_c,3.5,4,2.5,2,3,3,6,0.080075,0.070903
7,day_of_year,3.75,4,5.0,3,7,1,4,0.064692,0.02063
7,week_of_year,5.75,4,8.0,8,8,2,5,0.047201,0.016294
7,day_of_month,7.0,4,4.0,6,2,7,13,0.055148,0.092863
