Feature,Importance_Mean
month,0.0463116930348737
quarter,0.0352842546776424
day_of_month,0.027486339476851196
temperature_avg_c,0.027021529011879597
week_of_year,0.023401980038245007
temperature_min_c,0.015395539736100972
doy_cos,0.01392183044899431
quarter_num,0.012461647514865781
pm25_lag7,0.010374833079050738
day_of_year,0.008428962021213682
is_weekday,0.007525502958841912
temperature_max_c,0.00726474391047871
day_of_week_y,0.006529058336878446
is_weekend,0.004959935290866024
month_cos,0.0028837273897663884
dow_cos,0.002669463534493488
dow_sin,0.001908640969102482
precipitation_min_mm,0.0
year,0.0
day_of_week_x,-0.0006751748700768445
mean_relative_humidity_pct,-0.0012885770431516619
month_sin,-0.0013204170867178178
week_cos,-0.0015353448789632296
total_precipitation_mm,-0.002209241440789711
precipitation_max_mm,-0.004368503835139759
relative_humidity_min_pct,-0.0056648926385243215
relative_humidity_max_pct,-0.005900775491040733
wind_direction_deg,-0.0072423507407730625
wind_speed_min_knots,-0.009512826695067478
pm25_rollstd3,-0.009946370656404913
doy_sin,-0.010148206393676862
mean_wind_speed_knots,-0.010996408726827056
pm25_lag1,-0.0128068828672947
pm25_rollmean3,-0.02244142509904945
air_pressure_max_hpa,-0.025049514992593114
wind_speed_max_knots,-0.026023262427524507
week_sin,-0.028523277408532888
season_code,-0.029724976847548046
mean_air_pressure_hpa,-0.030123277722374997
air_pressure_min_hpa,-0.03423439952257734
