Model,Horizon_Days,Evaluation,MAE,RMSE,MSE,R2,MAPE,MBE,Source,Units
Random Forest,1,lead_1,3.1535712082704976,5.101982381025183,26.030224216291398,0.49392905129769005,41.35300671944699,0.06415385864976521,rf_results_path/rf_predictions_1d.csv,ug/m3 (MAPE in %)
XGBoost,1,lead_1,3.155274099265381,5.173166610675567,26.76165278180854,0.47970886076135333,40.8981013945312,-0.02199018833792467,xgb_results_path/xgb_predictions_1d.csv,ug/m3 (MAPE in %)
CNN-LSTM,1,lead_1,3.166,4.88,23.813,0.475,42.11,0.124,cnn_lstm.ipynb (stored Horizon 1d print),ug/m3 (MAPE in %)
Transformer,1,lead_1,4.364,6.773,45.875,-0.011,56.94,-0.178,transformer.ipynb (stored Horizon 1d (test) print),ug/m3 (MAPE in %)
CNN-LSTM,7,pooled_path,3.827,6.393,40.866,0.106,45.023,-1.063,cnn_lstm.ipynb (stored test metrics_summary),ug/m3 (MAPE in %)
XGBoost,7,pooled_path,4.029560742499717,6.346714629165781,40.28078658406694,0.2244433456775948,49.83530678993852,-0.4194087797726919,xgb_results_path/xgboost_pooled_path_results.csv,ug/m3 (MAPE in %)
Random Forest,7,pooled_path,4.061854349021642,6.270151384978093,39.3147983905427,0.2430422518812026,51.357212041522494,-0.2381349863277934,rf_results_path/random_forest_pooled_path_results.csv,ug/m3 (MAPE in %)
GRU,7,pooled_path,4.13606608644005,6.520929577457478,42.52252255415976,0.1799089963034752,48.066382749336256,-0.9694199214878472,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
LSTM,7,pooled_path,4.321136589917962,7.084732378109814,50.193432869437544,0.0319675252463501,47.44272384243134,-1.3913388961108004,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
Transformer,7,pooled_path,4.563,6.485,42.057,0.08,64.775,0.684,transformer.ipynb (stored test metrics_summary),ug/m3 (MAPE in %)
CNN-LSTM,14,pooled_path,3.912,6.648,44.198,0.028,45.759,-1.068,cnn_lstm.ipynb (stored test metrics_summary),ug/m3 (MAPE in %)
GRU,14,pooled_path,4.04913983357323,6.819693801278819,46.50822354320075,0.1001568359046576,42.158922665956425,-1.745709634548514,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
XGBoost,14,pooled_path,4.192465505580513,6.61656131790233,43.77888367356142,0.1492298147885231,50.92331304867144,-0.5855147618079674,xgb_results_path/xgboost_pooled_path_results.csv,ug/m3 (MAPE in %)
Random Forest,14,pooled_path,4.204783634649128,6.501482648173164,42.26927662449674,0.1785665305966726,52.374211987567,-0.3668050875857566,rf_results_path/random_forest_pooled_path_results.csv,ug/m3 (MAPE in %)
Transformer,14,pooled_path,4.231,6.701,44.903,0.012,54.947,-0.254,transformer.ipynb (stored test metrics_summary),ug/m3 (MAPE in %)
LSTM,14,pooled_path,4.415253663350924,7.386746535434999,54.56402437876096,-0.05570715461003,47.05034232080824,-1.6649810010971875,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
CNN-LSTM,30,pooled_path,4.16,6.638,44.061,-0.03,55.659,-0.168,cnn_lstm.ipynb (stored test metrics_summary),ug/m3 (MAPE in %)
XGBoost,30,pooled_path,4.275382048907631,6.793536791935486,46.15214214338109,0.0705896203472069,52.273337751243176,-0.6069662360326498,xgb_results_path/xgboost_pooled_path_results.csv,ug/m3 (MAPE in %)
LSTM,30,pooled_path,4.2819251642749085,7.185571097421296,51.63243199609629,-0.0355655813738409,47.41589637108765,-1.4463413662760214,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
Random Forest,30,pooled_path,4.333896280117652,6.7119433011198755,45.050182877447966,0.0927808412125573,54.5617680369876,-0.3382717470157333,rf_results_path/random_forest_pooled_path_results.csv,ug/m3 (MAPE in %)
Transformer,30,pooled_path,4.436,6.353,40.358,0.056,65.957,0.989,transformer.ipynb (stored test metrics_summary),ug/m3 (MAPE in %)
GRU,30,pooled_path,4.4952021533053115,7.179876961821146,51.55063318689006,-0.0339249840179438,51.39974024276049,-1.4442782147343871,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
