# Rank within each model (1 = highest permutation MAE increase), then average those ranks.
# Do not average raw importance. Missing model files are skipped. LSTM/GRU have none.
horizon_days,feature,mean_rank,n_models,mean_rank_rf_xgb,rf_rank,rf_importance,xgb_rank,xgb_importance,cnn_lstm_rank,cnn_lstm_importance,transformer_rank,transformer_importance
1,pm25_rollmean3,1.0,2,1.0,1.0,0.8236978386416942,1.0,0.6942055784834974,,,,
1,mean_wind_speed_knots,2.0,2,2.0,2.0,0.3165015790553781,2.0,0.3222801669832758,,,,
1,wind_speed_max_knots,3.0,2,3.0,3.0,0.2840814630850412,3.0,0.2632892283000891,,,,
1,temperature_max_c,4.0,2,4.0,4.0,0.0844962974556529,4.0,0.1362932935299622,,,,
1,temperature_avg_c,6.0,2,6.0,6.0,0.0337763549105675,6.0,0.0249931404413271,,,,
1,day_of_year,6.5,2,6.5,8.0,0.0187611852962393,5.0,0.0351229199102101,,,,
1,doy_sin,7.0,2,7.0,7.0,0.0221404903554069,7.0,0.0236837447116526,,,,
1,pm25_lag1,9.0,2,9.0,10.0,0.0178240517964211,8.0,0.0208841089768844,,,,
1,pm25_lag7,11.5,2,11.5,9.0,0.0186920749295228,14.0,0.0115910350783795,,,,
1,relative_humidity_min_pct,11.5,2,11.5,11.0,0.0135269306017688,12.0,0.0137531108041768,,,,
1,air_pressure_min_hpa,12.0,2,12.0,13.0,0.0115507428080818,11.0,0.0141331772239412,,,,
1,pm25_rollstd3,13.0,2,13.0,5.0,0.0360988167695495,21.0,0.0040774089902554,,,,
1,air_pressure_max_hpa,13.5,2,13.5,14.0,0.0103445323378523,13.0,0.0136897751122467,,,,
1,day_of_month,14.5,2,14.5,20.0,0.0066216464610191,9.0,0.0143139998643523,,,,
1,mean_air_pressure_hpa,15.5,2,15.5,12.0,0.0116418373315132,19.0,0.0062843648132869,,,,
1,doy_cos,16.0,2,16.0,22.0,0.0063248153701569,10.0,0.0141416572013833,,,,
1,mean_relative_humidity_pct,16.5,2,16.5,17.0,0.0090804327917144,16.0,0.0079205676149729,,,,
1,precipitation_max_mm,16.5,2,16.5,18.0,0.0079646675321071,15.0,0.0101894983049923,,,,
