Feature,Importance_Mean,Importance_STD
pm25_rollmean3,0.8236978386416942,0.07355472045188871
mean_wind_speed_knots,0.3165015790553781,0.06290009018308187
wind_speed_max_knots,0.2840814630850412,0.07867165892224909
temperature_max_c,0.08449629745565299,0.021463476527381037
pm25_rollstd3,0.03609881676954951,0.018278970359673023
temperature_avg_c,0.0337763549105675,0.01213416155872524
doy_sin,0.02214049035540695,0.00810391912650369
day_of_year,0.01876118529623938,0.005889912523194102
pm25_lag7,0.01869207492952285,0.014350931750297898
pm25_lag1,0.01782405179642117,0.0035672328152102258
relative_humidity_min_pct,0.01352693060176886,0.004688926064255815
mean_air_pressure_hpa,0.011641837331513295,0.0037301808173890237
air_pressure_min_hpa,0.011550742808081837,0.00522915458406169
air_pressure_max_hpa,0.010344532337852397,0.005034780160238559
temperature_min_c,0.00956775461911008,0.005186914087973884
total_precipitation_mm,0.009380933320248586,0.004763432171205578
mean_relative_humidity_pct,0.009080432791714443,0.0035362773013999497
precipitation_max_mm,0.007964667532107162,0.004832113720662086
week_sin,0.007274165184566384,0.002558498401150261
day_of_month,0.006621646461019126,0.0044112968896824435
week_of_year,0.006407505722115436,0.0034335787749335605
doy_cos,0.006324815370156922,0.0037645108631221393
wind_direction_deg,0.006137024694484472,0.010483441254940419
relative_humidity_max_pct,0.005317814616019501,0.01382912089009715
wind_speed_min_knots,0.004753793881216972,0.0015166850326035271
month_sin,0.0030454881726780904,0.0018596126879105088
quarter_num,0.0023231777945150523,0.0015998137947306412
month,0.0022278344268994664,0.0024601475882195458
day_of_week_y,0.001802822682044658,0.0018602839187101354
day_of_week_x,0.001588408257818208,0.0016612098658583194
quarter,0.0010387268734201927,0.0015855368029303615
month_cos,0.000978536137238084,0.0010100193761402153
season_code,0.00026838811848020063,0.0013623130410591415
precipitation_min_mm,0.0,0.0
year,0.0,0.0
is_weekday,-1.9507542070407168e-05,0.0008635742885757122
is_weekend,-3.917131257493711e-05,0.0006069044542903737
dow_cos,-0.0006199458347664777,0.0010516950869234327
week_cos,-0.0012961016187329477,0.0017490029775854017
dow_sin,-0.002617649494346974,0.0027433269798317734
