Feature,Importance_Mean
week_sin,0.03460674112815543
month_sin,0.03442969416326136
doy_sin,0.025404803087498706
mean_air_pressure_hpa,0.02301800364841089
doy_cos,0.019457738139217362
air_pressure_max_hpa,0.016417751260284774
air_pressure_min_hpa,0.015658176863726503
week_cos,0.015109919427393592
week_of_year,0.010979694742985657
quarter,0.009176268000510746
mean_relative_humidity_pct,0.007979243435903172
month_cos,0.007674339316125156
day_of_year,0.00680286228623217
relative_humidity_min_pct,0.006553380913571161
quarter_num,0.006424391288176068
month,0.0033640304814106514
pm25_rollstd3,0.0014934061698808065
precipitation_max_mm,0.0006265953174322547
relative_humidity_max_pct,0.0004848618554404993
is_weekday,0.00036557583079055433
day_of_month,0.00024580746547542276
is_weekend,0.00020833915156970306
dow_sin,9.274126759972745e-05
day_of_week_y,2.720893092078569e-05
precipitation_min_mm,0.0
year,0.0
total_precipitation_mm,-5.523868375423291e-05
dow_cos,-0.00010549664927150815
day_of_week_x,-0.00013177848155709881
wind_speed_max_knots,-0.001740460676849409
wind_speed_min_knots,-0.001751035818848834
mean_wind_speed_knots,-0.0017860838062713214
wind_direction_deg,-0.0042961921150421745
temperature_min_c,-0.004555058296892511
pm25_rollmean3,-0.005243629377719827
pm25_lag7,-0.0074038885136049615
temperature_avg_c,-0.008540538418795762
season_code,-0.01100600448340927
pm25_lag1,-0.011453191616698888
temperature_max_c,-0.012424171998096867
