Feature,1 Day,2 Day,3 Day,4 Day,5 Day,6 Day,7 Day,8 Day,9 Day,10 Day,11 Day,12 Day,13 Day,14 Day,15 Day,16 Day,17 Day,18 Day,19 Day,20 Day,21 Day,22 Day,23 Day,24 Day,25 Day,26 Day,27 Day,28 Day,29 Day,30 Day
pm25_rollmean3,0.6942055784834974,0.2317207622528076,0.21320431910063178,0.06676608440611079,0.06024503164636674,0.025527502371612255,0.0376934120968941,0.013020078251870616,0.009421583592052318,0.0,-0.004008971192681221,-0.0007490308040922322,0.0077663617935614495,0.0038378450802392106,0.00039603197813744553,0.00047809270606635756,0.001115253844247377,0.0013899107888940775,0.003994301091069285,0.0004875117124514272,0.0005062227694005106,-0.0004917978125009714,-0.010963581412418755,-0.042034167822669624,-0.021410511208143523,-0.009537777195316188,-0.021234835941643125,-0.020233026232038577,-0.02953240976760694,-0.03320996764177338
mean_wind_speed_knots,0.3222801669832758,0.04608810398460095,0.007763557737884908,0.004231708447138205,0.0034694398013990655,0.018297849886910366,-0.01669444145608696,-0.015099322045786946,0.00014777849761546947,-0.0021146350661243483,0.001827581178703097,0.00031501000577738303,0.0018634825078851058,0.0011901490756442978,0.006424108630948755,-0.01232272152242988,-0.00021449443586289972,-0.0004585441137328061,-0.002305025225100632,0.0032096540512038365,0.0006273095878842838,0.011675806840260839,0.01028270534056741,-0.00046000838279707245,0.0033840738003930947,-0.001917061791617991,0.001953889693987554,-0.009961106720425095,-0.0007026421988188148,0.0035341313499175353
wind_speed_max_knots,0.2632892283000891,0.16177203574891905,0.058250380592664054,0.005339148561159757,-4.377770224670563e-05,0.004628922792786705,-0.0032385974237567174,-0.002849420804656377,0.0002361584246999726,0.0011852853042254364,-0.0007643928608880746,-0.00020275515588870087,-0.00018197593525921542,-0.0007139227185930963,0.004045108327893443,-0.00017064802948083547,-0.00070433369287497,0.0005113776019540772,1.30126096197003e-05,-0.0007677816235744483,-1.5674457605641123e-06,0.001895076629014092,0.0007124565913182223,-0.000626583870719255,-0.0004013932630378303,0.002677670907691798,0.003810369975488825,0.0019492288430528859,0.007006912074871696,0.0003167633524911118
temperature_max_c,0.13629329352996222,0.03788618073279022,0.046895021428032146,0.03318361372417859,0.0010697388051279066,0.00956529956956178,0.011754068112840655,-0.0012331965934029299,0.06031455479205503,0.1130778469069527,0.004245560864889253,0.03960732057690626,0.015932895451189876,0.00045104128973809664,0.013762294774752793,0.0023669261493900694,-0.0032612719109835543,-0.003762576621392366,-0.02215441739731965,0.0010521945842473014,-0.01826150764876857,0.006188815086208388,-0.0012553167762638484,0.0031054769544041514,0.016685852920059353,-0.006141868582844623,-0.01988660491184944,0.007902920515764179,-0.014130206093859421,-0.03230780138940874
day_of_year,0.035122919910210174,0.00676319239547909,0.00312255320456587,0.00505176095167772,0.01079075211601963,0.01239520577745088,0.02063043876188462,0.01452649756763753,0.07459248339961952,0.030415467879192627,0.059442874257355435,0.07121985604817235,0.055013766438193244,0.07344554921558913,0.060388957750490135,0.06730011208304032,0.016904680557140804,0.011519701026078221,0.007120646241781969,-0.007937188314837852,0.02073927750045259,0.04437302974232469,0.04960092552945783,0.05069505361949691,0.028715320899422813,0.0287068963191913,0.0253191373751497,-0.014032851088614828,-0.016165508782685876,-0.0029046628289595144
temperature_avg_c,0.0249931404413271,0.035218667562495365,0.02299414543564038,0.10180919788943381,0.12896607397658535,0.10755455805602705,0.09953199796649917,0.11355748019861381,0.09070953033339837,0.050793355615798765,0.028226417995377683,0.024809709611264365,0.029086608941059168,0.0005861890247891299,0.004822098751123205,0.03925122577568589,0.02079595969801997,-0.02715084239926697,-0.011768548302028847,-0.022299386179724757,-0.028834738091894473,0.003920023622568358,0.0037232227689012465,0.021144843297846317,0.0014472370654079025,-0.007431690424857962,-0.0049954923324134985,-0.0029540770110632495,-0.0075527446661419525,-0.022489978853100244
doy_sin,0.023683744711652622,-0.0006718077844017678,-0.0033183771487414137,0.0006556733449298857,0.0027853031344399425,0.017648879282967343,0.007505276156406726,0.0018508268206303136,-0.0003938444701716559,-0.010319895407574808,-0.009029949434079842,-0.007342390106482588,-0.02755559832961474,-0.019524491119384858,-0.02566219318903573,-0.01838442037845489,-0.009755493996809727,0.022040868398081635,0.001911480088164641,-0.01106312696323868,-0.011117031358769004,-0.021167722180572925,-0.012982708897408646,-0.02011330363329713,-0.020454999268230845,0.009728494522839037,-0.0018846302287163664,-0.009472397097519769,-0.013987836752364613,-0.0027179898045020857
pm25_lag1,0.02088410897688444,0.011829878888736189,0.004700465479716698,0.09151529837979196,0.007514594258703822,0.006897014173049332,-0.001630409264765209,0.0010236661755633758,-3.187589242408251e-05,0.0001652361982956929,0.0012133764072453257,0.005257516733624623,0.0015728267849004051,-3.312977382123883e-05,0.0023093470051504194,0.0037594438010247976,-0.002371564241238877,-0.0037711496711469116,0.0006925922614938074,-0.001098725116530108,0.0015771324502483087,-0.0026393556315997824,-0.0038213123254410507,-0.019366647103253375,-0.0005695930554104223,-0.0019458221824923516,-0.0045806284262094096,-0.007699254722822557,-0.011121097294252369,-0.010617413449430568
day_of_month,0.014313999864352356,-0.00045526757424700913,0.002558652264920891,0.028261145393053643,0.05266999110537944,0.09517096368960191,0.09286277149905656,0.020516901685950505,0.009036182269244053,0.0031653933067103514,-0.006092252731322967,0.004223687404936083,0.002874314261977018,0.010638129111698591,0.018487911852861406,0.019127813975016304,-0.0010097859022597966,0.016691249629665172,0.00036001937976748444,0.013788522689841144,0.015919491514867667,0.016650081322206977,0.01969617452090113,0.017683836460113556,0.019844818691939416,0.014106727648062822,0.02482722757831892,0.012433884143829265,0.027565868861639455,0.02499861498792715
doy_cos,0.014141657201383384,0.0011661546796724487,0.00022325210624170034,2.5068389044768936e-05,0.008055489362116041,0.047807753685466546,0.04750398407463265,0.02565318611230736,0.009167150806373581,-0.0005047792499351278,0.010203185513742729,0.0024871485070748546,0.017312931960124754,0.021949703012193657,-0.0033308824085571676,-0.002790645388350921,0.0068496185352202145,0.015112419679674449,0.03210608832041419,0.06308816394140515,0.07752070988580004,0.03717917330780911,0.01543326495330053,-0.0005297138410455648,-0.006309496308498641,0.015974156983504705,0.06533268750244536,0.06143835914986466,0.020058172083612425,0.025474180361467934
