Model,Horizon_Days,Evaluation,MAE,RMSE,MSE,R2,MAPE,MBE,Source,Units
Persistence,1,lead_1,3.124058769513315,5.673670656685909,32.19053872053871,0.3741622686697528,37.63525863932396,0.0002754820936638791,rf_results_path/rf_predictions_1d.csv (Persistence_PM25),ug/m3 (MAPE in %)
Random Forest,1,lead_1,3.1535712082704976,5.101982381025183,26.030224216291398,0.49392905129769005,41.35300671944699,0.06415385864976521,rf_results_path/rf_predictions_1d.csv,ug/m3 (MAPE in %)
XGBoost,1,lead_1,3.155274099265381,5.173166610675567,26.76165278180854,0.47970886076135333,40.8981013945312,-0.02199018833792467,xgb_results_path/xgb_predictions_1d.csv,ug/m3 (MAPE in %)
CNN-LSTM,1,lead_1,3.1658734169679947,4.879831778062575,23.812758182189345,0.475045558761498,42.1093832524078,0.1236993668028676,cnn_lstm_results/cnn_lstm_test_metrics.csv,ug/m3 (MAPE in %)
Transformer,1,lead_1,4.364215240817061,6.773111548626947,45.87504005014371,-0.0113194713550384,56.93706262388276,-0.1775378968821188,transformer_results/transformer_test_metrics.csv,ug/m3 (MAPE in %)
CNN-LSTM,7,pooled_path,3.8269169062605894,6.392624575484577,40.86564896308937,0.1062916879132065,45.02261550959573,-1.0630071054118395,cnn_lstm_results/cnn_lstm_test_metrics.csv,ug/m3 (MAPE in %)
XGBoost,7,pooled_path,4.029560742499717,6.346714629165781,40.28078658406694,0.2244433456775948,49.83530678993852,-0.4194087797726919,xgb_results_path/xgboost_pooled_path_results.csv,ug/m3 (MAPE in %)
Random Forest,7,pooled_path,4.061854349021642,6.270151384978093,39.3147983905427,0.2430422518812026,51.357212041522494,-0.2381349863277934,rf_results_path/random_forest_pooled_path_results.csv,ug/m3 (MAPE in %)
GRU,7,pooled_path,4.13606608644005,6.520929577457478,42.52252255415976,0.1799089963034752,48.066382749336256,-0.9694199214878472,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
LSTM,7,pooled_path,4.321136589917962,7.084732378109814,50.193432869437544,0.0319675252463501,47.44272384243134,-1.3913388961108004,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
Transformer,7,pooled_path,4.562507527247198,6.485124488341724,42.056839629289506,0.0802410310247081,64.77483011198983,0.6840228723402901,transformer_results/transformer_test_metrics.csv,ug/m3 (MAPE in %)
Persistence,7,pooled_path,4.884233693477391,8.00245874469881,64.03934596060645,-0.2329982880187451,60.238780007593625,0.0299719887955181,rf_results_path/random_forest_pooled_path_results.csv (Persistence_* on tree origins),ug/m3 (MAPE in %)
CNN-LSTM,14,pooled_path,3.9123543975924737,6.648123947298497,44.197552018643755,0.0279301069844724,45.75924395956515,-1.0676417791202857,cnn_lstm_results/cnn_lstm_test_metrics.csv,ug/m3 (MAPE in %)
GRU,14,pooled_path,4.04913983357323,6.819693801278819,46.50822354320075,0.1001568359046576,42.158922665956425,-1.745709634548514,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
XGBoost,14,pooled_path,4.192465505580513,6.61656131790233,43.77888367356142,0.1492298147885231,50.92331304867144,-0.5855147618079674,xgb_results_path/xgboost_pooled_path_results.csv,ug/m3 (MAPE in %)
Random Forest,14,pooled_path,4.204783634649128,6.501482648173164,42.26927662449674,0.1785665305966726,52.374211987567,-0.3668050875857566,rf_results_path/random_forest_pooled_path_results.csv,ug/m3 (MAPE in %)
Transformer,14,pooled_path,4.2310349970206635,6.700992259650446,44.90329726389519,0.012408122763301,54.947383638089875,-0.2544938313691835,transformer_results/transformer_test_metrics.csv,ug/m3 (MAPE in %)
LSTM,14,pooled_path,4.415253663350924,7.386746535434999,54.56402437876096,-0.05570715461003,47.05034232080824,-1.6649810010971875,true_multi_horizon_results/multi_horizon_metrics_original_scale.csv,ug/m3 (MAPE in %)
Persistence,14,pooled_path,5.334278911564626,8.593823983396238,73.85381065759637,-0.435226641233019,64.54842288866487,0.0629047619047619,rf_results_path/random_forest_pooled_path_results.csv (Persistence_* on tree origins),ug/m3 (MAPE in %)
