Feature,Importance_Mean,Importance_STD
temperature_avg_c,0.09610310383217131,0.021193291695059912
temperature_min_c,0.08007506001166798,0.01298062467524974
day_of_year,0.06469218299659758,0.011466603277153408
doy_cos,0.06092561496290867,0.012169758649745307
temperature_max_c,0.0594554175020046,0.014952751206109114
day_of_month,0.055147553471681744,0.015667068945698685
air_pressure_max_hpa,0.05410035316398516,0.015186814270296384
week_of_year,0.04720058016971747,0.009926630078004204
mean_air_pressure_hpa,0.0328762378134035,0.008609831064687845
air_pressure_min_hpa,0.03166059472337546,0.011670207909857387
week_cos,0.023999987213400777,0.004058258765192006
week_sin,0.020110387221508708,0.004476464414728062
doy_sin,0.01638570075919259,0.007799619538708373
pm25_rollmean3,0.015706281349264682,0.008841921200125316
mean_relative_humidity_pct,0.015638857755767167,0.005194510343001715
pm25_lag1,0.01563139894478862,0.006801680435948917
relative_humidity_min_pct,0.014050687068304058,0.0054867322408150305
month,0.012110902445241711,0.0028349668853019064
relative_humidity_max_pct,0.008558426335282787,0.006214792249002704
month_cos,0.008118546860633069,0.0025403479045488946
wind_direction_deg,0.006478389841019494,0.008442081311845843
season_code,0.004220518178133359,0.0014899873148960688
dow_cos,0.0041724111394159545,0.0016675696897847088
total_precipitation_mm,0.0040257024971610544,0.0021772209679044446
dow_sin,0.0038682934173882356,0.0031242202023475754
pm25_rollstd3,0.0026535556780045598,0.004462473859509477
precipitation_max_mm,0.0022689919650035863,0.001923964731788727
quarter_num,0.0015086789119594269,0.0013136145326893315
is_weekend,0.0012052652684693133,0.0007970777776197397
year,0.0,0.0
precipitation_min_mm,0.0,0.0
wind_speed_min_knots,-5.3063530469632525e-05,0.0013661709571076706
day_of_week_y,-0.0009009912798581432,0.003093967298858394
quarter,-0.0010356581012429978,0.0009198988123236717
is_weekday,-0.0010371059897343216,0.0012317969077034363
pm25_lag7,-0.0011163843156111852,0.006529830616589042
month_sin,-0.0020061391165024033,0.0020333736765066317
day_of_week_x,-0.0032711915490871045,0.002832987777154481
mean_wind_speed_knots,-0.003343653628965093,0.009381530344940193
wind_speed_max_knots,-0.010917240739050538,0.00559747287214873
