Feature,Importance_Mean
pm25_rollmean3,0.016509423794943245
pm25_lag1,0.012668303421183857
week_sin,0.012007754886722566
pm25_lag7,0.011960904190261523
doy_sin,0.011801303967446941
pm25_rollstd3,0.011478649684050879
month_sin,0.011217154667300555
doy_cos,0.007162882228758605
week_cos,0.006520779407859223
relative_humidity_max_pct,0.0030471789807302585
mean_relative_humidity_pct,0.0029540043782878556
relative_humidity_min_pct,0.0024329113742398434
month_cos,0.0021343082354778886
mean_air_pressure_hpa,0.0014996735827290664
air_pressure_max_hpa,0.0012289923648598489
air_pressure_min_hpa,0.0006218853464279306
is_weekday,7.69620124314585e-05
is_weekend,6.565944329484097e-05
day_of_week_y,3.519741933732945e-05
precipitation_min_mm,0.0
year,0.0
day_of_week_x,-9.16487750490802e-06
dow_sin,-1.4886812921055537e-05
dow_cos,-7.240402939245882e-05
day_of_month,-0.00010361257106428212
total_precipitation_mm,-0.0003618587243598981
precipitation_max_mm,-0.00044144084074826395
wind_speed_min_knots,-0.0010073024614785098
wind_speed_max_knots,-0.0016984196870675206
mean_wind_speed_knots,-0.0017327914473135309
wind_direction_deg,-0.0031570385224730657
temperature_max_c,-0.006479669699395174
month,-0.006714943413014041
season_code,-0.006931893920608445
week_of_year,-0.007371384876406317
quarter_num,-0.007422312737539016
temperature_min_c,-0.007511807525762748
day_of_year,-0.007663172505584015
temperature_avg_c,-0.008361720055167332
quarter,-0.008557632386292369
