Model,Horizon,Input_Window,Units,Dropout,Batch_Size,Learning_Rate,Epochs_Used,Best_Validation_Loss
LSTM,7,30,32,0.1,16,0.001,18,0.017716875299811363
LSTM,7,30,32,0.1,16,0.0005,20,0.017801575362682343
LSTM,7,30,32,0.1,32,0.001,20,0.017816806212067604
LSTM,7,30,32,0.1,32,0.0005,22,0.01681637577712536
LSTM,7,30,32,0.2,16,0.001,15,0.016437914222478867
LSTM,7,30,32,0.2,16,0.0005,25,0.016824860125780106
LSTM,7,30,32,0.2,32,0.001,16,0.01688544824719429
LSTM,7,30,32,0.2,32,0.0005,41,0.016562560573220253
LSTM,7,30,64,0.1,16,0.001,17,0.017589513212442398
LSTM,7,30,64,0.1,16,0.0005,14,0.01755542866885662
LSTM,7,30,64,0.1,32,0.001,26,0.016124801710247993
LSTM,7,30,64,0.1,32,0.0005,13,0.017654448747634888
LSTM,7,30,64,0.2,16,0.001,16,0.017101354897022247
LSTM,7,30,64,0.2,16,0.0005,13,0.01881013624370098
LSTM,7,30,64,0.2,32,0.001,15,0.016870049759745598
LSTM,7,30,64,0.2,32,0.0005,21,0.01720505580306053
LSTM,14,30,32,0.1,16,0.001,14,0.0189032144844532
LSTM,14,30,32,0.1,16,0.0005,12,0.018575672060251236
LSTM,14,30,32,0.1,32,0.001,14,0.018634071573615074
LSTM,14,30,32,0.1,32,0.0005,23,0.019173260778188705
LSTM,14,30,32,0.2,16,0.001,12,0.019208446145057678
LSTM,14,30,32,0.2,16,0.0005,14,0.020416278392076492
LSTM,14,30,32,0.2,32,0.001,14,0.019675908610224724
LSTM,14,30,32,0.2,32,0.0005,27,0.019872060045599937
LSTM,14,30,64,0.1,16,0.001,11,0.019131116569042206
LSTM,14,30,64,0.1,16,0.0005,12,0.019498905166983604
LSTM,14,30,64,0.1,32,0.001,13,0.020177843049168587
LSTM,14,30,64,0.1,32,0.0005,15,0.01959439180791378
LSTM,14,30,64,0.2,16,0.001,11,0.020444247871637344
LSTM,14,30,64,0.2,16,0.0005,13,0.019695740193128586
LSTM,14,30,64,0.2,32,0.001,30,0.017719171941280365
LSTM,14,30,64,0.2,32,0.0005,14,0.019406314939260483
LSTM,30,30,32,0.1,16,0.001,11,0.021529071033000946
LSTM,30,30,32,0.1,16,0.0005,12,0.02136363834142685
LSTM,30,30,32,0.1,32,0.001,12,0.020506344735622406
LSTM,30,30,32,0.1,32,0.0005,13,0.021910935640335083
LSTM,30,30,32,0.2,16,0.001,11,0.02323773317039013
LSTM,30,30,32,0.2,16,0.0005,14,0.022162368521094322
LSTM,30,30,32,0.2,32,0.001,12,0.022664513438940048
LSTM,30,30,32,0.2,32,0.0005,14,0.021711498498916626
LSTM,30,30,64,0.1,16,0.001,11,0.022606156766414642
LSTM,30,30,64,0.1,16,0.0005,11,0.020626844838261604
LSTM,30,30,64,0.1,32,0.001,11,0.021862929686903954
LSTM,30,30,64,0.1,32,0.0005,11,0.021633034572005272
LSTM,30,30,64,0.2,16,0.001,11,0.02265271544456482
LSTM,30,30,64,0.2,16,0.0005,11,0.022341683506965637
LSTM,30,30,64,0.2,32,0.001,12,0.02318098582327366
LSTM,30,30,64,0.2,32,0.0005,12,0.021533500403165817
GRU,7,30,32,0.1,16,0.001,37,0.016693510115146637
GRU,7,30,32,0.1,16,0.0005,27,0.01676335372030735
GRU,7,30,32,0.1,32,0.001,30,0.015783898532390594
GRU,7,30,32,0.1,32,0.0005,43,0.016561191529035568
GRU,7,30,32,0.2,16,0.001,19,0.01705036126077175
GRU,7,30,32,0.2,16,0.0005,30,0.016464540734887123
GRU,7,30,32,0.2,32,0.001,44,0.016310343518853188
GRU,7,30,32,0.2,32,0.0005,20,0.016798101365566254
GRU,7,30,64,0.1,16,0.001,18,0.016793593764305115
GRU,7,30,64,0.1,16,0.0005,18,0.017376387491822243
GRU,7,30,64,0.1,32,0.001,22,0.016393985599279404
GRU,7,30,64,0.1,32,0.0005,18,0.016370268538594246
GRU,7,30,64,0.2,16,0.001,17,0.017364678904414177
GRU,7,30,64,0.2,16,0.0005,19,0.01674412004649639
GRU,7,30,64,0.2,32,0.001,23,0.01673712395131588
GRU,7,30,64,0.2,32,0.0005,33,0.01652464270591736
GRU,14,30,32,0.1,16,0.001,12,0.019571421667933464
GRU,14,30,32,0.1,16,0.0005,14,0.01828169822692871
