date,station,pm25,pm25_treated,status_raw,outlier,iqr_flagged,domain_outlier,rolling_spike,rolling_mean_7d,rolling_std_7d
2016-01-01,Auchencorth Moss,2.886,2.886,V ugm-3 (GRAV EMFAB),False,False,False,False,2.886,
2016-01-02,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,2.886,
2016-01-03,Auchencorth Moss,1.553,1.553,V ugm-3 (GRAV EMFAB),False,False,False,False,2.2195,0.942573339321668
2016-01-04,Auchencorth Moss,1.942,1.942,V ugm-3 (GRAV EMFAB),False,False,False,False,2.1270000000000002,0.6854859590101026
2016-01-05,Auchencorth Moss,2.48,2.48,V ugm-3 (GRAV EMFAB),False,False,False,False,2.21525,0.586867034912225
2016-01-06,Auchencorth Moss,3.75,3.75,V ugm-3 (GRAV EMFAB),False,False,False,False,2.5222,0.8540498814472139
2016-01-07,Auchencorth Moss,0.417,0.417,V ugm-3 (GRAV EMFAB),False,False,False,False,2.1713333333333336,1.1498545415254342
2016-01-08,Auchencorth Moss,1.958,1.958,V ugm-3 (GRAV EMFAB),False,False,False,False,2.016666666666666,1.0956330894358142
2016-01-09,Auchencorth Moss,2.0,2.0,V ugm-3 (GRAV EMFAB),False,False,False,False,2.014285714285714,1.0001914340574531
2016-01-10,Auchencorth Moss,2.628,2.628,V ugm-3 (GRAV EMFAB),False,False,False,False,2.167857142857143,1.000089067462065
2016-01-11,Auchencorth Moss,,,,False,False,False,False,2.2055000000000002,1.0900968305613958
2016-01-12,Auchencorth Moss,,,,False,False,False,False,2.1506,1.2094559934119142
2016-01-13,Auchencorth Moss,1.296,1.296,V ugm-3 (GRAV EMFAB),False,False,False,False,1.6598,0.8394898450845009
2016-01-14,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9705,0.5441455075008277
2016-01-15,Auchencorth Moss,0.605,0.605,V ugm-3 (GRAV EMFAB),False,False,False,False,1.63225,0.8746551225101998
2016-01-16,Auchencorth Moss,2.81,2.81,V ugm-3 (GRAV EMFAB),False,False,False,False,1.83475,1.0618999874438897
2016-01-17,Auchencorth Moss,0.778,0.778,V ugm-3 (GRAV EMFAB),False,False,False,False,1.3722500000000002,1.0024544461803067
2016-01-18,Auchencorth Moss,5.881,5.881,V ugm-3 (GRAV EMFAB),False,False,False,False,2.274,2.1953249190040185
2016-01-19,Auchencorth Moss,7.137,7.137,V ugm-3 (GRAV EMFAB),False,False,False,False,3.0845000000000002,2.7923149356761323
2016-01-20,Auchencorth Moss,5.019,5.019,V ugm-3 (GRAV EMFAB),False,False,False,False,3.705,2.7283163306332354
2016-01-21,Auchencorth Moss,6.664,6.664,V ugm-3 (GRAV EMFAB),False,False,False,False,4.127714285714286,2.7301837370578634
2016-01-22,Auchencorth Moss,2.294,2.294,V ugm-3 (GRAV EMFAB),False,False,False,False,4.369000000000001,2.4244889495864217
2016-01-23,Auchencorth Moss,4.416,4.416,V ugm-3 (GRAV EMFAB),False,False,False,False,4.598428571428571,2.326375783426721
2016-01-24,Auchencorth Moss,0.26,0.26,V ugm-3 (GRAV EMFAB),False,False,False,False,4.5244285714285715,2.4718448479589
2016-01-25,Auchencorth Moss,3.595,3.595,V ugm-3 (GRAV EMFAB),False,False,False,False,4.197857142857143,2.4130586005159125
2016-01-26,Auchencorth Moss,1.17,1.17,V ugm-3 (GRAV EMFAB),False,False,False,False,3.345428571428571,2.2501862039353453
2016-01-27,Auchencorth Moss,0.043,0.043,V ugm-3 (GRAV EMFAB),False,False,False,False,2.634571428571429,2.413434472361112
2016-01-28,Auchencorth Moss,2.254,2.254,V ugm-3 (GRAV EMFAB),False,False,False,False,2.0045714285714284,1.636980742825327
2016-01-29,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9563333333333335,1.7877642648477663
2016-01-30,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,1.4644000000000001,1.4765291395702318
2016-01-31,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,1.7655000000000003,1.517380308294533
2016-02-01,Auchencorth Moss,1.12,1.12,V ugm-3 (GRAV EMFAB),False,False,False,False,1.14675,0.90287000725465
2016-02-02,Auchencorth Moss,2.951,2.951,V ugm-3 (GRAV EMFAB),False,False,False,False,1.592,1.2789722436394042
2016-02-03,Auchencorth Moss,1.816,1.816,V ugm-3 (GRAV EMFAB),False,False,False,False,2.03525,0.7685923822157046
2016-02-04,Auchencorth Moss,0.359,0.359,V ugm-3 (GRAV EMFAB),False,False,False,False,1.5615,1.1009706323664337
2016-02-05,Auchencorth Moss,2.613,2.613,V ugm-3 (GRAV EMFAB),False,False,False,False,1.7718000000000003,1.0631240285122
2016-02-06,Auchencorth Moss,3.958,3.958,V ugm-3 (GRAV EMFAB),False,False,False,False,2.1361666666666665,1.304133646014347
2016-02-07,Auchencorth Moss,1.333,1.333,V ugm-3 (GRAV EMFAB),False,False,False,False,2.0214285714285714,1.2285998612435316
2016-02-08,Auchencorth Moss,2.417,2.417,V ugm-3 (GRAV EMFAB),False,False,False,False,2.2067142857142854,1.1662142047791124
2016-02-09,Auchencorth Moss,1.292,1.292,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9697142857142858,1.1582955458036508
2016-02-10,Auchencorth Moss,1.92,1.92,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9845714285714287,1.1566611225337171
2016-02-11,Auchencorth Moss,,,,False,False,False,False,2.2555,0.9944137468880886
2016-02-12,Auchencorth Moss,,,,False,False,False,False,2.184,1.0944092013502122
2016-02-13,Auchencorth Moss,2.001,2.001,V ugm-3 (GRAV EMFAB),False,False,False,False,1.7926000000000002,0.4773282937350443
2016-02-14,Auchencorth Moss,1.001,1.001,V ugm-3 (GRAV EMFAB),False,False,False,False,1.7262,0.5711223161460325
2016-02-15,Auchencorth Moss,1.262,1.262,V ugm-3 (GRAV EMFAB),False,False,False,False,1.4952,0.4405095912690307
2016-02-16,Auchencorth Moss,2.002,2.002,V ugm-3 (GRAV EMFAB),False,False,False,False,1.6372,0.4719456536509353
2016-02-17,Auchencorth Moss,2.177,2.177,V ugm-3 (GRAV EMFAB),False,False,False,False,1.6885999999999999,0.5218067650002333
2016-02-18,Auchencorth Moss,2.439,2.439,V ugm-3 (GRAV EMFAB),False,False,False,False,1.8136666666666665,0.5582793804777978
2016-02-19,Auchencorth Moss,1.829,1.829,V ugm-3 (GRAV EMFAB),False,False,False,False,1.8158571428571428,0.5096699679110808
2016-02-20,Auchencorth Moss,1.263,1.263,V ugm-3 (GRAV EMFAB),False,False,False,False,1.7104285714285716,0.54039302275994
2016-02-21,Auchencorth Moss,0.654,0.654,V ugm-3 (GRAV EMFAB),False,False,False,False,1.6608571428571428,0.6255262926985155
2016-02-22,Auchencorth Moss,1.874,1.874,V ugm-3 (GRAV EMFAB),False,False,False,False,1.7482857142857144,0.6028453959586798
2016-02-23,Auchencorth Moss,1.308,1.308,V ugm-3 (GRAV EMFAB),False,False,False,False,1.6491428571428572,0.6111752145311103
2016-02-24,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,1.5611666666666668,0.6190539287224286
2016-02-25,Auchencorth Moss,1.988,1.988,V ugm-3 (GRAV EMFAB),False,False,False,False,1.486,0.5086912619654548
2016-02-26,Auchencorth Moss,5.129,5.129,V ugm-3 (GRAV EMFAB),False,False,False,False,2.036,1.5895052060311115
2016-02-27,Auchencorth Moss,9.014,9.014,V ugm-3 (GRAV EMFAB),False,False,False,False,3.327833333333333,3.18479477622447
2016-02-28,Auchencorth Moss,4.87,4.87,V ugm-3 (GRAV EMFAB),False,False,False,False,4.0305,2.9319290407511582
2016-02-29,Auchencorth Moss,4.958,4.958,V ugm-3 (GRAV EMFAB),False,False,False,False,4.5445,2.7424670462924445
2016-03-01,Auchencorth Moss,0.56,0.56,V ugm-3 (GRAV EMFAB),False,False,False,False,4.419833333333334,2.9296308584302344
2016-03-02,Auchencorth Moss,0.998,0.998,V ugm-3 (GRAV EMFAB),False,False,False,False,3.931,2.970687967458044
2016-03-03,Auchencorth Moss,2.209,2.209,V ugm-3 (GRAV EMFAB),False,False,False,False,3.9625714285714286,2.9476821321813107
2016-03-04,Auchencorth Moss,8.454,8.454,V ugm-3 (GRAV EMFAB),False,False,False,False,4.437571428571429,3.4001465584659174
2016-03-05,Auchencorth Moss,3.765,3.765,V ugm-3 (GRAV EMFAB),False,False,False,False,3.6877142857142857,2.736744825170086
2016-03-06,Auchencorth Moss,5.042,5.042,V ugm-3 (GRAV EMFAB),False,False,False,False,3.712285714285714,2.7498696159567113
2016-03-07,Auchencorth Moss,0.417,0.417,V ugm-3 (GRAV EMFAB),False,False,False,False,3.063571428571429,2.936323940867951
2016-03-08,Auchencorth Moss,1.75,1.75,V ugm-3 (GRAV EMFAB),False,False,False,False,3.233571428571429,2.798430801785343
2016-03-09,Auchencorth Moss,1.542,1.542,V ugm-3 (GRAV EMFAB),False,False,False,False,3.3112857142857144,2.7327839110990664
2016-03-10,Auchencorth Moss,3.128,3.128,V ugm-3 (GRAV EMFAB),False,False,False,False,3.4425714285714286,2.6927852901870257
2016-03-11,Auchencorth Moss,,,,False,False,False,False,2.6073333333333335,1.685609879736908
2016-03-12,Auchencorth Moss,,,,False,False,False,False,2.3758,1.7746952414428816
2016-03-13,Auchencorth Moss,3.459,3.459,V ugm-3 (GRAV EMFAB),False,False,False,False,2.0591999999999997,1.2411380664535308
2016-03-14,Auchencorth Moss,7.358,7.358,V ugm-3 (GRAV EMFAB),False,False,False,False,3.4474000000000005,2.3402275103074923
2016-03-15,Auchencorth Moss,9.068,9.068,V ugm-3 (GRAV EMFAB),False,False,False,False,4.911,3.1585602732890816
2016-03-16,Auchencorth Moss,0.307,0.307,V ugm-3 (GRAV EMFAB),False,False,False,False,4.664,3.515950156074457
2016-03-17,Auchencorth Moss,2.761,2.761,V ugm-3 (GRAV EMFAB),False,False,False,False,4.5906,3.559592575000684
2016-03-18,Auchencorth Moss,3.945,3.945,V ugm-3 (GRAV EMFAB),False,False,False,False,4.483,3.1946871521324276
2016-03-19,Auchencorth Moss,5.7,5.7,V ugm-3 (GRAV EMFAB),False,False,False,False,4.656857142857143,2.9523898471448193
2016-03-20,Auchencorth Moss,7.324,7.324,V ugm-3 (GRAV EMFAB),False,False,False,False,5.2090000000000005,3.0508029544148973
2016-03-21,Auchencorth Moss,3.334,3.334,V ugm-3 (GRAV EMFAB),False,False,False,False,4.634142857142857,2.956027482313125
2016-03-22,Auchencorth Moss,2.062,2.062,V ugm-3 (GRAV EMFAB),False,False,False,False,3.6332857142857145,2.3228364639154515
2016-03-23,Auchencorth Moss,7.461,7.461,V ugm-3 (GRAV EMFAB),False,False,False,False,4.655285714285715,2.1851486382918144
2016-03-24,Auchencorth Moss,2.216,2.216,V ugm-3 (GRAV EMFAB),False,False,False,False,4.577428571428571,2.271879241006063
2016-03-25,Auchencorth Moss,3.27,3.27,V ugm-3 (GRAV EMFAB),False,False,False,False,4.481,2.317071643260087
2016-03-26,Auchencorth Moss,2.963,2.963,V ugm-3 (GRAV EMFAB),False,False,False,False,4.09,2.3079977614085045
2016-03-27,Auchencorth Moss,1.646,1.646,V ugm-3 (GRAV EMFAB),False,False,False,False,3.278857142857143,1.9523418782384947
2016-03-28,Auchencorth Moss,1.295,1.295,V ugm-3 (GRAV EMFAB),False,False,False,False,2.9875714285714285,2.089997994986508
2016-03-29,Auchencorth Moss,0.55,0.55,V ugm-3 (GRAV EMFAB),False,False,False,False,2.7715714285714284,2.271821211945963
2016-03-30,Auchencorth Moss,1.427,1.427,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9095714285714287,0.9646116415675421
2016-03-31,Auchencorth Moss,0.68,0.68,V ugm-3 (GRAV EMFAB),False,False,False,False,1.6901428571428572,1.0538626457895195
2016-04-01,Auchencorth Moss,1.983,1.983,V ugm-3 (GRAV EMFAB),False,False,False,False,1.5062857142857144,0.8182248497582528
2016-04-02,Auchencorth Moss,2.084,2.084,V ugm-3 (GRAV EMFAB),False,False,False,False,1.3807142857142858,0.5941817102216425
2016-04-03,Auchencorth Moss,1.86,1.86,V ugm-3 (GRAV EMFAB),False,False,False,False,1.4112857142857143,0.6152380878667346
2016-04-04,Auchencorth Moss,5.992,5.992,V ugm-3 (GRAV EMFAB),False,False,False,False,2.0822857142857143,1.8297924030051185
2016-04-05,Auchencorth Moss,5.716,5.716,V ugm-3 (GRAV EMFAB),False,False,False,False,2.8202857142857143,2.1265117535756164
2016-04-06,Auchencorth Moss,7.75,7.75,V ugm-3 (GRAV EMFAB),False,False,False,False,3.7235714285714288,2.7012859812283767
2016-04-07,Auchencorth Moss,1.958,1.958,V ugm-3 (GRAV EMFAB),False,False,False,False,3.906142857142857,2.4967400364322696
2016-04-08,Auchencorth Moss,1.042,1.042,V ugm-3 (GRAV EMFAB),False,False,False,False,3.771714285714286,2.638831920521257
2016-04-09,Auchencorth Moss,2.0,2.0,V ugm-3 (GRAV EMFAB),False,False,False,False,3.759714285714286,2.647961084450054
2016-04-10,Auchencorth Moss,3.878,3.878,V ugm-3 (GRAV EMFAB),False,False,False,False,4.048,2.513082569276227
2016-04-11,Auchencorth Moss,,,,False,False,False,False,3.724,2.5878373982922502
2016-04-12,Auchencorth Moss,,,,False,False,False,False,3.3256,2.679684459036177
2016-04-13,Auchencorth Moss,2.307,2.307,V ugm-3 (GRAV EMFAB),False,False,False,False,2.237,1.031966084714037
2016-04-14,Auchencorth Moss,4.455,4.455,V ugm-3 (GRAV EMFAB),False,False,False,False,2.7364,1.4012937950337232
2016-04-15,Auchencorth Moss,2.603,2.603,V ugm-3 (GRAV EMFAB),False,False,False,False,3.0486,1.0623037701147497
2016-04-16,Auchencorth Moss,2.074,2.074,V ugm-3 (GRAV EMFAB),False,False,False,False,3.0634,1.0444071524075325
2016-04-17,Auchencorth Moss,2.383,2.383,V ugm-3 (GRAV EMFAB),False,False,False,False,2.7644,0.9637830668776112
2016-04-18,Auchencorth Moss,2.914,2.914,V ugm-3 (GRAV EMFAB),False,False,False,False,2.7893333333333334,0.8641945768556278
2016-04-19,Auchencorth Moss,5.431,5.431,V ugm-3 (GRAV EMFAB),False,False,False,False,3.166714285714286,1.2725073299442764
2016-04-20,Auchencorth Moss,4.638,4.638,V ugm-3 (GRAV EMFAB),False,False,False,False,3.499714285714286,1.3143439065792135
2016-04-21,Auchencorth Moss,6.229,6.229,V ugm-3 (GRAV EMFAB),False,False,False,False,3.753142857142857,1.6558908406626562
2016-04-22,Auchencorth Moss,4.375,4.375,V ugm-3 (GRAV EMFAB),False,False,False,False,4.006285714285714,1.5846742792853588
2016-04-23,Auchencorth Moss,3.492,3.492,V ugm-3 (GRAV EMFAB),False,False,False,False,4.208857142857143,1.3729937397977485
2016-04-24,Auchencorth Moss,2.299,2.299,V ugm-3 (GRAV EMFAB),False,False,False,False,4.196857142857143,1.3918490613294991
2016-04-25,Auchencorth Moss,2.565,2.565,V ugm-3 (GRAV EMFAB),False,False,False,False,4.147,1.4504768181532577
2016-04-26,Auchencorth Moss,1.327,1.327,V ugm-3 (GRAV EMFAB),False,False,False,False,3.5607142857142855,1.6593636043461286
2016-04-27,Auchencorth Moss,2.831,2.831,V ugm-3 (GRAV EMFAB),False,False,False,False,3.302571428571429,1.6034545890194787
2016-04-28,Auchencorth Moss,1.327,1.327,V ugm-3 (GRAV EMFAB),False,False,False,False,2.6022857142857143,1.1054785862973184
2016-04-29,Auchencorth Moss,2.611,2.611,V ugm-3 (GRAV EMFAB),False,False,False,False,2.350285714285714,0.7900980349057449
2016-04-30,Auchencorth Moss,2.745,2.745,V ugm-3 (GRAV EMFAB),False,False,False,False,2.2435714285714283,0.6478299306512744
2016-05-01,Auchencorth Moss,2.372,2.372,V ugm-3 (GRAV EMFAB),False,False,False,False,2.254,0.6494564393911901
2016-05-02,Auchencorth Moss,0.391,0.391,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9434285714285713,0.9335976751511529
2016-05-03,Auchencorth Moss,1.118,1.118,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9135714285714285,0.9595776600746313
2016-05-04,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,1.7606666666666666,0.953182179159205
2016-05-05,Auchencorth Moss,2.039,2.039,V ugm-3 (GRAV EMFAB),False,False,False,False,1.8793333333333333,0.9324905718915819
2016-05-06,Auchencorth Moss,4.833,4.833,V ugm-3 (GRAV EMFAB),False,False,False,False,2.2496666666666667,1.5305961801424588
2016-05-07,Auchencorth Moss,1.167,1.167,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9866666666666666,1.5636765223877631
2016-05-08,Auchencorth Moss,2.042,2.042,V ugm-3 (GRAV EMFAB),False,False,False,False,1.9316666666666666,1.5531806935017862
2016-05-09,Auchencorth Moss,1.333,1.333,V ugm-3 (GRAV EMFAB),False,False,False,False,2.0886666666666662,1.4070327169851766
2016-05-10,Auchencorth Moss,3.628,3.628,V ugm-3 (GRAV EMFAB),False,False,False,False,2.507,1.4335998046874927
2016-05-11,Auchencorth Moss,,,,False,False,False,False,2.507,1.4335998046874927
2016-05-12,Auchencorth Moss,,,,False,False,False,False,2.6006,1.582183080430334
2016-05-13,Auchencorth Moss,3.33,3.33,V ugm-3 (GRAV EMFAB),False,False,False,False,2.3,1.1302462121148755
2016-05-14,Auchencorth Moss,3.242,3.242,V ugm-3 (GRAV EMFAB),False,False,False,False,2.715,0.9813735272565788
2016-05-15,Auchencorth Moss,3.554,3.554,V ugm-3 (GRAV EMFAB),False,False,False,False,3.0174000000000003,0.9547433162897843
2016-05-16,Auchencorth Moss,2.177,2.177,V ugm-3 (GRAV EMFAB),False,False,False,False,3.1862000000000004,0.5858201089071736
2016-05-17,Auchencorth Moss,3.2,3.2,V ugm-3 (GRAV EMFAB),False,False,False,False,3.1006,0.5341130966377944
2016-05-18,Auchencorth Moss,2.178,2.178,V ugm-3 (GRAV EMFAB),False,False,False,False,2.9468333333333336,0.6083474062299267
2016-05-19,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,2.9468333333333336,0.6083474062299267
2016-05-20,Auchencorth Moss,2.167,2.167,V ugm-3 (GRAV EMFAB),False,False,False,False,2.753,0.6459609895342092
2016-05-21,Auchencorth Moss,0.875,0.875,V ugm-3 (GRAV EMFAB),False,False,False,False,2.3585,0.9423703624371995
2016-05-22,Auchencorth Moss,2.75,2.75,V ugm-3 (GRAV EMFAB),False,False,False,False,2.2245,0.781872815744364
2016-05-23,Auchencorth Moss,1.833,1.833,V ugm-3 (GRAV EMFAB),False,False,False,False,2.1671666666666667,0.7984884261319556
2016-05-24,Auchencorth Moss,3.125,3.125,V ugm-3 (GRAV EMFAB),False,False,False,False,2.154666666666667,0.7794461281363116
2016-05-25,Auchencorth Moss,3.319,3.319,V ugm-3 (GRAV EMFAB),False,False,False,False,2.3448333333333333,0.9138740431080672
2016-05-26,Auchencorth Moss,2.917,2.917,V ugm-3 (GRAV EMFAB),False,False,False,False,2.4265714285714286,0.8618232334500507
2016-05-27,Auchencorth Moss,2.125,2.125,V ugm-3 (GRAV EMFAB),False,False,False,False,2.4205714285714284,0.8640748148825428
2016-05-28,Auchencorth Moss,3.333,3.333,V ugm-3 (GRAV EMFAB),False,False,False,False,2.771714285714286,0.5860002031529088
2016-05-29,Auchencorth Moss,4.208,4.208,V ugm-3 (GRAV EMFAB),False,False,False,False,2.98,0.7978243332129432
2016-05-30,Auchencorth Moss,2.708,2.708,V ugm-3 (GRAV EMFAB),False,False,False,False,3.1050000000000004,0.6413711873790479
2016-05-31,Auchencorth Moss,3.25,3.25,V ugm-3 (GRAV EMFAB),False,False,False,False,3.1228571428571428,0.6437565348720631
2016-06-01,Auchencorth Moss,2.157,2.157,V ugm-3 (GRAV EMFAB),False,False,False,False,2.956857142857143,0.7289319649485956
2016-06-02,Auchencorth Moss,1.737,1.737,V ugm-3 (GRAV EMFAB),False,False,False,False,2.7882857142857143,0.8636742661995034
2016-06-03,Auchencorth Moss,0.943,0.943,V ugm-3 (GRAV EMFAB),False,False,False,False,2.6194285714285717,1.0985704130282075
2016-06-04,Auchencorth Moss,0.755,0.755,V ugm-3 (GRAV EMFAB),False,False,False,False,2.251142857142857,1.242216490602112
2016-06-05,Auchencorth Moss,5.984,5.984,V ugm-3 (GRAV EMFAB),False,False,False,False,2.504857142857143,1.7754317248274643
2016-06-06,Auchencorth Moss,5.208,5.208,V ugm-3 (GRAV EMFAB),False,False,False,False,2.8619999999999997,2.052876193701578
2016-06-07,Auchencorth Moss,1.5,1.5,V ugm-3 (GRAV EMFAB),False,False,False,False,2.6119999999999997,2.103679474951768
2016-06-08,Auchencorth Moss,2.792,2.792,V ugm-3 (GRAV EMFAB),False,False,False,False,2.7027142857142854,2.0944599713120766
2016-06-09,Auchencorth Moss,1.042,1.042,V ugm-3 (GRAV EMFAB),False,False,False,False,2.6034285714285716,2.1632128772686627
2016-06-10,Auchencorth Moss,,,,False,False,False,False,2.8801666666666663,2.2298167114511185
2016-06-11,Auchencorth Moss,,,,False,False,False,False,3.3052,2.204586854719045
2016-06-12,Auchencorth Moss,,,,False,False,False,False,2.6355,1.8682300893269799
2016-06-13,Auchencorth Moss,1.667,1.667,V ugm-3 (GRAV EMFAB),False,False,False,False,1.7502499999999999,0.7430605067332758
2016-06-14,Auchencorth Moss,2.958,2.958,V ugm-3 (GRAV EMFAB),False,False,False,False,2.11475,0.916698923674892
2016-06-15,Auchencorth Moss,1.542,1.542,V ugm-3 (GRAV EMFAB),False,False,False,False,1.8022500000000001,0.816447742765397
2016-06-16,Auchencorth Moss,,,V ugm-3 (GRAV EMFAB),False,False,False,False,2.0556666666666668,0.7839389857210788
2016-06-17,Auchencorth Moss,2.5,2.5,V ugm-3 (GRAV EMFAB),False,False,False,False,2.1667500000000004,0.6775432950496262
2016-06-18,Auchencorth Moss,6.042,6.042,V ugm-3 (GRAV EMFAB),False,False,False,False,2.9417999999999997,1.8297024894774605
2016-06-19,Auchencorth Moss,3.208,3.208,V ugm-3 (GRAV EMFAB),False,False,False,False,2.986166666666667,1.6401400448335743
2016-06-20,Auchencorth Moss,1.75,1.75,V ugm-3 (GRAV EMFAB),False,False,False,False,3.0,1.6270867217207607
2016-06-21,Auchencorth Moss,2.958,2.958,V ugm-3 (GRAV EMFAB),False,False,False,False,3.0,1.6270867217207607
2016-06-22,Auchencorth Moss,3.792,3.792,V ugm-3 (GRAV EMFAB),False,False,False,False,3.375,1.476130482037414
2016-06-23,Auchencorth Moss,4.417,4.417,V ugm-3 (GRAV EMFAB),False,False,False,False,3.5238571428571426,1.4038910722905635
2016-06-24,Auchencorth Moss,3.833,3.833,V ugm-3 (GRAV EMFAB),False,False,False,False,3.7142857142857144,1.3303449069427726
2016-06-25,Auchencorth Moss,3.625,3.625,V ugm-3 (GRAV EMFAB),False,False,False,False,3.369,0.8538216050987115
2016-06-26,Auchencorth Moss,3.417,3.417,V ugm-3 (GRAV EMFAB),False,False,False,False,3.3988571428571426,0.8509025460398796
2016-06-27,Auchencorth Moss,3.083,3.083,V ugm-3 (GRAV EMFAB),False,False,False,False,3.5892857142857144,0.49521130650990053
2016-06-28,Auchencorth Moss,3.542,3.542,V ugm-3 (GRAV EMFAB),False,False,False,False,3.6727142857142856,0.4136015450832382
2016-06-29,Auchencorth Moss,3.083,3.083,V ugm-3 (GRAV EMFAB),False,False,False,False,3.5714285714285716,0.46334287417378495
2016-06-30,Auchencorth Moss,1.208,1.208,V ugm-3 (GRAV EMFAB),False,False,False,False,3.113,0.883914211523575
2016-07-01,Auchencorth Moss,0.259,0.259,V ugm-3 (GRAV EMFAB),False,False,False,False,2.6024285714285713,1.322243025713365
2016-07-02,Auchencorth Moss,2.085,2.085,V ugm-3 (GRAV EMFAB),False,False,False,False,2.3824285714285716,1.2498826421099052
2016-07-03,Auchencorth Moss,1.73,1.73,V ugm-3 (GRAV EMFAB),False,False,False,False,2.141428571428572,1.177709479900557
2016-07-04,Auchencorth Moss,1.101,1.101,V ugm-3 (GRAV EMFAB),False,False,False,False,1.858285714285714,1.1515745328731133
2016-07-05,Auchencorth Moss,9.976,9.976,V ugm-3 (GRAV EMFAB),True,True,False,False,2.7774285714285716,3.2940696641663436
2016-07-06,Auchencorth Moss,5.583,5.583,V ugm-3 (GRAV EMFAB),False,False,False,False,3.134571428571429,3.4638699387218574
2016-07-07,Auchencorth Moss,2.25,2.25,V ugm-3 (GRAV EMFAB),False,False,False,False,3.283428571428572,3.388855502828002
2016-07-08,Auchencorth Moss,3.875,3.875,V ugm-3 (GRAV EMFAB),False,False,False,False,3.8000000000000003,3.1155768861213065
2016-07-09,Auchencorth Moss,1.583,1.583,V ugm-3 (GRAV EMFAB),False,False,False,False,3.728285714285714,3.166985407517467
2016-07-10,Auchencorth Moss,,,,False,False,False,False,4.061333333333333,3.332269776993854
2016-07-11,Auchencorth Moss,,,,False,False,False,False,4.6533999999999995,3.354244370942581
2016-07-12,Auchencorth Moss,,,,False,False,False,False,3.3227499999999996,1.7880373551280602
2016-07-13,Auchencorth Moss,2.25,2.25,V ugm-3 (GRAV EMFAB),False,False,False,False,2.4895,0.9757173429499785
2016-07-14,Auchencorth Moss,0.875,0.875,V ugm-3 (GRAV EMFAB),False,False,False,False,2.14575,1.2822722994746631
2016-07-15,Auchencorth Moss,0.542,0.542,V ugm-3 (GRAV EMFAB),False,False,False,False,1.3125,0.7609540064945172
2016-07-16,Auchencorth Moss,2.792,2.792,V ugm-3 (GRAV EMFAB),False,False,False,False,1.61475,1.078190266140467
